Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,13/08/2021,22:00,VALENCIA,1,0,GETAFE,,,,,3.0,0.0,2021
ROUND 1,14/08/2021,20:30,CADIZ,1,1,LEVANTE,,,,,1.0,1.0,2021
ROUND 1,14/08/2021,20:30,MALLORCA,1,1,BETIS,,,,,1.0,1.0,2021
ROUND 1,14/08/2021,23:00,ALAVES,1,4,REAL MADRID,,,,,0.0,3.0,2021
ROUND 1,14/08/2021,23:00,OSASUNA,0,0,ESPANYOL,,,,,1.0,1.0,2021
ROUND 1,15/08/2021,18:30,CELTA VIGO,1,2,ATLETICO MADRID,,,,,0.0,3.0,2021
ROUND 1,15/08/2021,21:00,BARCELONA,4,2,REAL SOCIEDAD,,,,,3.0,0.0,2021
ROUND 1,15/08/2021,23:15,SEVILLA,3,0,RAYO VALLECANO,,,,,3.0,0.0,2021
ROUND 1,16/08/2021,21:00,VILLARREAL,0,0,GRANADA CF,,,,,1.0,1.0,2021
ROUND 1,16/08/2021,23:00,ELCHE,0,0,ATHLETIC BILBAO,,,,,1.0,1.0,2021
ROUND 2,20/08/2021,22:00,BETIS,1,1,CADIZ,,,,,1.0,1.0,2021
ROUND 2,21/08/2021,18:00,ALAVES,0,1,MALLORCA,,,,,0.0,3.0,2021
ROUND 2,21/08/2021,20:30,ESPANYOL,0,0,VILLARREAL,,,,,1.0,1.0,2021
ROUND 2,21/08/2021,20:30,GRANADA CF,1,1,VALENCIA,,,,,1.0,1.0,2021
ROUND 2,21/08/2021,23:00,ATHLETIC BILBAO,1,1,BARCELONA,,,,,1.0,1.0,2021
ROUND 2,22/08/2021,18:00,REAL SOCIEDAD,1,0,RAYO VALLECANO,,,,,3.0,0.0,2021
ROUND 2,22/08/2021,20:30,ATLETICO MADRID,1,0,ELCHE,,,,,3.0,0.0,2021
ROUND 2,22/08/2021,23:00,LEVANTE,3,3,REAL MADRID,,,,,1.0,1.0,2021
ROUND 2,23/08/2021,21:00,GETAFE,0,1,SEVILLA,,,,,0.0,3.0,2021
ROUND 2,23/08/2021,23:00,OSASUNA,0,0,CELTA VIGO,,,,,1.0,1.0,2021
ROUND 3,27/08/2021,21:00,MALLORCA,1,0,ESPANYOL,,,,,3.0,0.0,2021
