Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,18/08/2012,20:00,CELTA VIGO,0,1,MALAGA,,,,,0.0,3.0,2012
ROUND 1,18/08/2012,22:00,SEVILLA,2,1,GETAFE,,,,,3.0,0.0,2012
ROUND 1,19/08/2012,00:00,MALLORCA,2,1,ESPANYOL,,,,,3.0,0.0,2012
ROUND 1,19/08/2012,20:00,REAL MADRID,1,1,VALENCIA,,,,,1.0,1.0,2012
ROUND 1,19/08/2012,20:00,ATHLETIC BILBAO,3,5,BETIS,,,,,0.0,3.0,2012
ROUND 1,19/08/2012,22:00,BARCELONA,5,1,REAL SOCIEDAD,,,,,3.0,0.0,2012
ROUND 1,20/08/2012,00:00,LEVANTE,1,1,ATLETICO MADRID,,,,,1.0,1.0,2012
ROUND 1,20/08/2012,20:00,DEPORTIVO LA CORUNA,2,0,OSASUNA,,,,,3.0,0.0,2012
ROUND 1,20/08/2012,22:00,RAYO VALLECANO,1,0,GRANADA CF,,,,,3.0,0.0,2012
ROUND 1,21/08/2012,00:00,ZARAGOZA,0,1,VALLADOLID,,,,,0.0,3.0,2012
ROUND 2,25/08/2012,20:00,REAL SOCIEDAD,2,1,CELTA VIGO,,,,,3.0,0.0,2012
ROUND 2,25/08/2012,22:00,BETIS,1,2,RAYO VALLECANO,,,,,0.0,3.0,2012
ROUND 2,25/08/2012,22:00,ESPANYOL,1,2,ZARAGOZA,,,,,0.0,3.0,2012
ROUND 2,26/08/2012,00:00,MALAGA,1,1,MALLORCA,,,,,1.0,1.0,2012
ROUND 2,26/08/2012,20:00,OSASUNA,1,2,BARCELONA,,,,,0.0,3.0,2012
ROUND 2,26/08/2012,22:00,GRANADA CF,1,1,SEVILLA,,,,,1.0,1.0,2012
ROUND 2,26/08/2012,22:00,GETAFE,2,1,REAL MADRID,,,,,3.0,0.0,2012
ROUND 2,27/08/2012,00:00,VALENCIA,3,3,DEPORTIVO LA CORUNA,,,,,1.0,1.0,2012
ROUND 2,27/08/2012,21:00,VALLADOLID,2,0,LEVANTE,,,,,3.0,0.0,2012
ROUND 2,27/08/2012,23:00,ATLETICO MADRID,4,0,ATHLETIC BILBAO,,,,,3.0,0.0,2012
ROUND 3,01/09/2012,17:00,CELTA VIGO,2,0,OSASUNA,,,,,3.0,0.0,2012
ROUND 3,01/09/2012,19:00,ZARAGOZA,0,1,MALAGA,,,,,0.0,3.0,2012
ROUND 3,01/09/2012,21:00,DEPORTIVO LA CORUNA,1,1,GETAFE,,,,,1.0,1.0,2012
ROUND 3,01/09/2012,23:00,MALLORCA,1,0,REAL SOCIEDAD,,,,,3.0,0.0,2012
ROUND 3,02/09/2012,13:00,RAYO VALLECANO,0,0,SEVILLA,,,,,1.0,1.0,2012
ROUND 3,02/09/2012,17:00,ATHLETIC BILBAO,2,0,VALLADOLID,,,,,3.0,0.0,2012
ROUND 3,02/09/2012,19:00,LEVANTE,3,2,ESPANYOL,,,,,3.0,0.0,2012
ROUND 3,02/09/2012,20:50,REAL MADRID,3,0,GRANADA CF,,,,,3.0,0.0,2012
ROUND 3,02/09/2012,22:30,BARCELONA,1,0,VALENCIA,,,,,3.0,0.0,2012
ROUND 4,15/09/2012,17:00,MALAGA,3,1,LEVANTE,,,,,3.0,0.0,2012
ROUND 4,15/09/2012,19:00,VALENCIA,2,1,CELTA VIGO,,,,,3.0,0.0,2012
ROUND 4,15/09/2012,21:00,GETAFE,1,4,BARCELONA,,,,,0.0,3.0,2012
ROUND 4,15/09/2012,23:00,SEVILLA,1,0,REAL MADRID,,,,,3.0,0.0,2012
ROUND 4,16/09/2012,13:00,ESPANYOL,3,3,ATHLETIC BILBAO,,,,,1.0,1.0,2012
ROUND 4,16/09/2012,17:00,GRANADA CF,1,1,DEPORTIVO LA CORUNA,,,,,1.0,1.0,2012
ROUND 4,16/09/2012,19:00,OSASUNA,1,1,MALLORCA,,,,,1.0,1.0,2012
ROUND 4,16/09/2012,20:50,REAL SOCIEDAD,2,0,ZARAGOZA,,,,,3.0,0.0,2012
ROUND 4,16/09/2012,22:30,ATLETICO MADRID,4,3,RAYO VALLECANO,,,,,3.0,0.0,2012
ROUND 4,17/09/2012,22:30,VALLADOLID,0,1,BETIS,,,,,0.0,3.0,2012
ROUND 5,22/09/2012,17:00,ZARAGOZA,3,1,OSASUNA,,,,,3.0,0.0,2012
ROUND 5,22/09/2012,19:00,CELTA VIGO,2,1,GETAFE,,,,,3.0,0.0,2012
ROUND 5,22/09/2012,21:00,BETIS,1,0,ESPANYOL,,,,,3.0,0.0,2012
ROUND 5,22/09/2012,23:00,BARCELONA,2,0,GRANADA CF,,,,,3.0,0.0,2012
ROUND 5,23/09/2012,13:00,MALLORCA,2,0,VALENCIA,,,,,3.0,0.0,2012
ROUND 5,23/09/2012,17:00,LEVANTE,2,1,REAL SOCIEDAD,,,,,3.0,0.0,2012
ROUND 5,23/09/2012,19:00,ATLETICO MADRID,2,1,VALLADOLID,,,,,3.0,0.0,2012
ROUND 5,23/09/2012,20:50,ATHLETIC BILBAO,0,0,MALAGA,,,,,1.0,1.0,2012
ROUND 5,24/09/2012,20:45,RAYO VALLECANO,0,2,REAL MADRID,,,,,0.0,3.0,2012
ROUND 5,24/09/2012,22:30,DEPORTIVO LA CORUNA,0,2,SEVILLA,,,,,0.0,3.0,2012
ROUND 3,26/09/2012,22:00,BETIS,2,4,ATLETICO MADRID,,,,,0.0,3.0,2012
ROUND 6,29/09/2012,17:00,VALENCIA,2,0,ZARAGOZA,,,,,3.0,0.0,2012
ROUND 6,29/09/2012,19:00,MALAGA,4,0,BETIS,,,,,3.0,0.0,2012
ROUND 6,29/09/2012,21:00,REAL SOCIEDAD,2,0,ATHLETIC BILBAO,,,,,3.0,0.0,2012
ROUND 6,29/09/2012,23:00,SEVILLA,2,3,BARCELONA,,,,,0.0,3.0,2012
ROUND 6,30/09/2012,13:00,GRANADA CF,2,1,CELTA VIGO,,,,,3.0,0.0,2012
ROUND 6,30/09/2012,17:00,VALLADOLID,6,1,RAYO VALLECANO,,,,,3.0,0.0,2012
ROUND 6,30/09/2012,19:00,OSASUNA,4,0,LEVANTE,,,,,3.0,0.0,2012
ROUND 6,30/09/2012,20:50,REAL MADRID,5,1,DEPORTIVO LA CORUNA,,,,,3.0,0.0,2012
