Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
first-round,11/12/2019,20:00,UD LOGRONES,2,1,MARINO DE LUANCO,,,,,3.0,0.0,2019
first-round,17/12/2019,16:30,CD LEALTAD,0,1,CADIZ,,,,,0.0,3.0,2019
first-round,17/12/2019,17:00,CORUXO,4,4,MIRANDES,4,5,,,0.0,3.0,2019
first-round,17/12/2019,20:00,ILLUEICA,0,2,DEPORTIVO LA CORUNA,,,,,0.0,3.0,2019
first-round,17/12/2019,20:00,SD LOGRONES,0,5,EIBAR,,,,,0.0,3.0,2019
first-round,17/12/2019,20:00,L HOSPITALET,2,2,GRANADA CF,2,3,,,0.0,3.0,2019
first-round,17/12/2019,20:00,REAL JAEN,3,1,ALAVES,,,,,3.0,0.0,2019
first-round,17/12/2019,20:30,MARBELLA FC,2,1,GUIJUELO,,,,,3.0,0.0,2019
first-round,17/12/2019,20:30,UP LANGREO,2,3,EBRO,,,,,0.0,3.0,2019
first-round,17/12/2019,21:00,CASTELLON,0,2,LAS PALMAS,,,,,0.0,3.0,2019
first-round,17/12/2019,21:00,CACERENO,1,0,ALCORCON,,,,,3.0,0.0,2019
first-round,17/12/2019,21:00,PENA SPORT,0,0,FUENLABRADA,0,1,,,0.0,3.0,2019
first-round,17/12/2019,21:00,PORTUGALETE,1,0,EXTREMADURA,,,,,3.0,0.0,2019
first-round,17/12/2019,21:00,UD SOCUELLAMOS CF,0,1,ZARAGOZA,,,,,0.0,3.0,2019
first-round,17/12/2019,21:15,TARAZONA,0,0,RAYO VALLECANO,0,1,,,0.0,3.0,2019
first-round,17/12/2019,21:30,GIMNASTICA SEGOVIANA,0,2,ELCHE,,,,,0.0,3.0,2019
first-round,17/12/2019,21:30,UNIONISTAS DE SALAMANCA,1,0,ATLETICO BALEARES,,,,,3.0,0.0,2019
first-round,17/12/2019,21:30,ESCOBEDO,2,0,MALAGA,,,,,3.0,0.0,2019
first-round,17/12/2019,21:30,ZAMORA,2,1,SPORTING GIJON,,,,,3.0,0.0,2019
first-round,17/12/2019,21:45,HERCULES,0,1,RECREATIVO HUELVA,,,,,0.0,3.0,2019
first-round,17/12/2019,22:00,ANDORRA CF,1,1,LEGANES,1,1,5,6,0.0,3.0,2019
first-round,17/12/2019,22:00,CF INTERCITY,0,3,ATHLETIC BILBAO,,,,,0.0,3.0,2019
first-round,17/12/2019,22:00,CARTAGENA,4,1,SD LEIOA,,,,,3.0,0.0,2019
first-round,17/12/2019,22:00,MURCIA,1,0,RACING SANTANDER,,,,,3.0,0.0,2019
first-round,17/12/2019,22:00,CEUTA,1,1,NUMANCIA,1,1,3,2,3.0,0.0,2019
first-round,17/12/2019,22:30,MENSAJERO,0,3,TENERIFE,,,,,0.0,3.0,2019
first-round,18/12/2019,18:30,SAN SEBASTIAN DE LOS REYES,2,0,CORDOBA,,,,,3.0,0.0,2019
first-round,18/12/2019,19:00,BERGANTINOS,0,1,SEVILLA,,,,,0.0,3.0,2019
first-round,18/12/2019,19:00,TUDELANO,0,1,ALBACETE,,,,,0.0,3.0,2019
first-round,18/12/2019,19:00,EL ALAMO,0,1,MALLORCA,,,,,0.0,3.0,2019
first-round,18/12/2019,19:00,TOLOSA,0,3,VALLADOLID,,,,,0.0,3.0,2019
first-round,18/12/2019,19:00,COMILLAS,0,5,VILLARREAL,,,,,0.0,3.0,2019
first-round,18/12/2019,19:00,EL PALMAR,1,2,GETAFE,,,,,0.0,3.0,2019
first-round,18/12/2019,19:00,MELILLA,1,2,UCAM MURCIA,,,,,0.0,3.0,2019
first-round,18/12/2019,19:00,BADALONA,3,1,OVIEDO,,,,,3.0,0.0,2019
first-round,18/12/2019,21:00,SESTAO RIVER,1,1,LUGO,1,1,6,5,3.0,0.0,2019
first-round,18/12/2019,21:15,BARAKALDO,0,0,VILLARRUBIA CF,0,0,5,3,3.0,0.0,2019
first-round,19/12/2019,20:00,AMOREBIETA,0,1,BADAJOZ,,,,,0.0,3.0,2019
