Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,17/08/2013,20:00,REAL SOCIEDAD,2,0,GETAFE,,,,,3.0,0.0,2013
ROUND 1,17/08/2013,22:00,VALLADOLID,1,2,ATHLETIC BILBAO,,,,,0.0,3.0,2013
ROUND 1,18/08/2013,00:00,VALENCIA,1,0,MALAGA,,,,,3.0,0.0,2013
ROUND 1,18/08/2013,20:00,BARCELONA,7,0,LEVANTE,,,,,3.0,0.0,2013
ROUND 1,18/08/2013,22:00,OSASUNA,1,2,GRANADA CF,,,,,0.0,3.0,2013
ROUND 1,18/08/2013,22:00,REAL MADRID,2,1,BETIS,,,,,3.0,0.0,2013
ROUND 1,19/08/2013,00:00,SEVILLA,1,3,ATLETICO MADRID,,,,,0.0,3.0,2013
ROUND 1,19/08/2013,21:00,RAYO VALLECANO,3,0,ELCHE,,,,,3.0,0.0,2013
ROUND 1,19/08/2013,23:00,ALMERIA,2,3,VILLARREAL,,,,,0.0,3.0,2013
ROUND 1,19/08/2013,23:00,CELTA VIGO,2,2,ESPANYOL,,,,,1.0,1.0,2013
ROUND 2,23/08/2013,21:00,GETAFE,2,2,ALMERIA,,,,,1.0,1.0,2013
ROUND 2,23/08/2013,23:00,ATHLETIC BILBAO,2,0,OSASUNA,,,,,3.0,0.0,2013
ROUND 2,24/08/2013,20:00,ELCHE,1,1,REAL SOCIEDAD,,,,,1.0,1.0,2013
ROUND 2,24/08/2013,22:00,ESPANYOL,3,1,VALENCIA,,,,,3.0,0.0,2013
ROUND 2,25/08/2013,00:00,VILLARREAL,2,1,VALLADOLID,,,,,3.0,0.0,2013
ROUND 2,25/08/2013,20:00,ATLETICO MADRID,5,0,RAYO VALLECANO,,,,,3.0,0.0,2013
ROUND 2,25/08/2013,22:00,LEVANTE,0,0,SEVILLA,,,,,1.0,1.0,2013
ROUND 2,25/08/2013,22:00,MALAGA,0,1,BARCELONA,,,,,0.0,3.0,2013
ROUND 2,26/08/2013,00:00,BETIS,1,2,CELTA VIGO,,,,,0.0,3.0,2013
ROUND 2,26/08/2013,22:00,GRANADA CF,0,1,REAL MADRID,,,,,0.0,3.0,2013
ROUND 3,31/08/2013,00:00,ALMERIA,2,2,ELCHE,,,,,1.0,1.0,2013
ROUND 3,31/08/2013,00:00,RAYO VALLECANO,1,2,LEVANTE,,,,,0.0,3.0,2013
ROUND 3,31/08/2013,20:00,CELTA VIGO,1,1,GRANADA CF,,,,,1.0,1.0,2013
ROUND 3,31/08/2013,22:00,VALLADOLID,1,0,GETAFE,,,,,3.0,0.0,2013
ROUND 3,01/09/2013,00:00,OSASUNA,0,3,VILLARREAL,,,,,0.0,3.0,2013
ROUND 3,01/09/2013,13:00,REAL MADRID,3,1,ATHLETIC BILBAO,,,,,3.0,0.0,2013
ROUND 3,01/09/2013,18:00,ESPANYOL,0,0,BETIS,,,,,1.0,1.0,2013
ROUND 3,01/09/2013,20:00,REAL SOCIEDAD,1,2,ATLETICO MADRID,,,,,0.0,3.0,2013
ROUND 3,01/09/2013,22:00,SEVILLA,2,2,MALAGA,,,,,1.0,1.0,2013
ROUND 3,01/09/2013,22:00,VALENCIA,2,3,BARCELONA,,,,,0.0,3.0,2013
ROUND 4,14/09/2013,17:00,ATLETICO MADRID,4,2,ALMERIA,,,,,3.0,0.0,2013
ROUND 4,14/09/2013,19:00,LEVANTE,0,0,REAL SOCIEDAD,,,,,1.0,1.0,2013
ROUND 4,14/09/2013,21:00,BARCELONA,3,2,SEVILLA,,,,,3.0,0.0,2013
ROUND 4,14/09/2013,23:00,VILLARREAL,2,2,REAL MADRID,,,,,1.0,1.0,2013
ROUND 4,15/09/2013,13:00,GRANADA CF,0,1,ESPANYOL,,,,,0.0,3.0,2013
ROUND 4,15/09/2013,18:00,GETAFE,2,1,OSASUNA,,,,,3.0,0.0,2013
ROUND 4,15/09/2013,20:00,MALAGA,5,0,RAYO VALLECANO,,,,,3.0,0.0,2013
ROUND 4,15/09/2013,22:00,BETIS,3,1,VALENCIA,,,,,3.0,0.0,2013
ROUND 4,16/09/2013,21:00,ELCHE,0,0,VALLADOLID,,,,,1.0,1.0,2013
ROUND 4,16/09/2013,23:00,ATHLETIC BILBAO,3,2,CELTA VIGO,,,,,3.0,0.0,2013
ROUND 5,20/09/2013,22:00,OSASUNA,2,1,ELCHE,,,,,3.0,0.0,2013
ROUND 5,21/09/2013,17:00,REAL SOCIEDAD,0,0,MALAGA,,,,,1.0,1.0,2013
ROUND 5,21/09/2013,19:00,ALMERIA,2,2,LEVANTE,,,,,1.0,1.0,2013
ROUND 5,21/09/2013,21:00,RAYO VALLECANO,0,4,BARCELONA,,,,,0.0,3.0,2013
ROUND 5,21/09/2013,23:00,VALLADOLID,0,2,ATLETICO MADRID,,,,,0.0,3.0,2013
ROUND 5,22/09/2013,13:00,BETIS,0,0,GRANADA CF,,,,,1.0,1.0,2013
ROUND 5,22/09/2013,18:00,CELTA VIGO,0,0,VILLARREAL,,,,,1.0,1.0,2013
ROUND 5,22/09/2013,20:00,REAL MADRID,4,1,GETAFE,,,,,3.0,0.0,2013
ROUND 5,22/09/2013,22:00,VALENCIA,3,1,SEVILLA,,,,,3.0,0.0,2013
ROUND 5,23/09/2013,23:00,ESPANYOL,3,2,ATHLETIC BILBAO,,,,,3.0,0.0,2013
ROUND 6,24/09/2013,21:00,BARCELONA,4,1,REAL SOCIEDAD,,,,,3.0,0.0,2013
ROUND 6,24/09/2013,21:00,LEVANTE,1,1,VALLADOLID,,,,,1.0,1.0,2013
ROUND 6,24/09/2013,23:00,ATLETICO MADRID,2,1,OSASUNA,,,,,3.0,0.0,2013
ROUND 6,24/09/2013,23:00,MALAGA,2,0,ALMERIA,,,,,3.0,0.0,2013
ROUND 6,25/09/2013,21:00,GRANADA CF,0,1,VALENCIA,,,,,0.0,3.0,2013
ROUND 6,25/09/2013,21:00,SEVILLA,4,1,RAYO VALLECANO,,,,,3.0,0.0,2013
ROUND 6,25/09/2013,23:00,ELCHE,1,2,REAL MADRID,,,,,0.0,3.0,2013
ROUND 6,26/09/2013,21:00,ATHLETIC BILBAO,2,1,BETIS,,,,,3.0,0.0,2013
ROUND 6,26/09/2013,23:00,VILLARREAL,2,1,ESPANYOL,,,,,3.0,0.0,2013
ROUND 6,26/09/2013,23:00,GETAFE,2,0,CELTA VIGO,,,,,3.0,0.0,2013
ROUND 7,27/09/2013,22:00,VALLADOLID,2,2,MALAGA,,,,,1.0,1.0,2013
ROUND 7,28/09/2013,17:00,VALENCIA,1,0,RAYO VALLECANO,,,,,3.0,0.0,2013
ROUND 7,28/09/2013,19:00,ALMERIA,0,2,BARCELONA,,,,,0.0,3.0,2013
ROUND 7,28/09/2013,21:00,REAL SOCIEDAD,1,1,SEVILLA,,,,,1.0,1.0,2013
ROUND 7,28/09/2013,23:00,REAL MADRID,0,1,ATLETICO MADRID,,,,,0.0,3.0,2013
ROUND 7,29/09/2013,13:00,OSASUNA,0,1,LEVANTE,,,,,0.0,3.0,2013
ROUND 7,29/09/2013,18:00,CELTA VIGO,0,1,ELCHE,,,,,0.0,3.0,2013
ROUND 7,29/09/2013,20:00,ESPANYOL,0,2,GETAFE,,,,,0.0,3.0,2013
ROUND 7,29/09/2013,22:00,BETIS,1,0,VILLARREAL,,,,,3.0,0.0,2013
ROUND 7,30/09/2013,23:00,GRANADA CF,2,0,ATHLETIC BILBAO,,,,,3.0,0.0,2013
ROUND 8,04/10/2013,21:00,VILLARREAL,3,0,GRANADA CF,,,,,3.0,0.0,2013
ROUND 8,04/10/2013,23:00,MALAGA,0,1,OSASUNA,,,,,0.0,3.0,2013
ROUND 8,05/10/2013,17:00,ELCHE,2,1,ESPANYOL,,,,,3.0,0.0,2013
ROUND 8,05/10/2013,19:00,RAYO VALLECANO,1,0,REAL SOCIEDAD,,,,,3.0,0.0,2013
ROUND 8,05/10/2013,21:00,LEVANTE,2,3,REAL MADRID,,,,,0.0,3.0,2013
ROUND 8,05/10/2013,23:00,BARCELONA,4,1,VALLADOLID,,,,,3.0,0.0,2013
ROUND 8,06/10/2013,13:00,ATLETICO MADRID,2,1,CELTA VIGO,,,,,3.0,0.0,2013
ROUND 8,06/10/2013,18:00,SEVILLA,2,1,ALMERIA,,,,,3.0,0.0,2013
ROUND 8,06/10/2013,20:00,GETAFE,3,1,BETIS,,,,,3.0,0.0,2013
ROUND 8,06/10/2013,22:00,ATHLETIC BILBAO,1,1,VALENCIA,,,,,1.0,1.0,2013
