Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
first-round,20/08/2004,19:30,FC TENINGEN,1,2,FC NURNBERG,,,,,0.0,3.0,2004
first-round,20/08/2004,19:30,WERDER BREMEN II,1,2,MSV DUISBURG,,,,,0.0,3.0,2004
first-round,20/08/2004,20:00,JAHN REGENSBURG,1,3,SpVgg UNTERHACHING,,,,,0.0,3.0,2004
first-round,20/08/2004,20:00,FC ST. PAULI,1,3,ENERGIE COTTBUS,,,,,0.0,3.0,2004
first-round,20/08/2004,20:30,KICKERS OFFENBACH,1,2,LR AHLEN,,,,,0.0,3.0,2004
first-round,20/08/2004,20:30,EINTRACHT BRAUNSCHWEIG,0,0,WACKER BURGHAUSEN,1,0,,,3.0,0.0,2004
first-round,21/08/2004,15:30,FC SAARBRUCKEN,1,4,FC KOLN,,,,,0.0,3.0,2004
first-round,21/08/2004,16:00,SC PADERBORN 07,4,2,HAMBURGER SV,,,,,3.0,0.0,2004
first-round,21/08/2004,16:00,VfB LUBECK,0,1,BORUSSIA DORTMUND,,,,,0.0,3.0,2004
first-round,21/08/2004,16:00,JAHN REGENSBURG,0,2,WERDER BREMEN,,,,,0.0,3.0,2004
first-round,21/08/2004,16:00,ROT-WEISS ERFURT,0,1,EINTRACHT FRANKFURT,,,,,0.0,3.0,2004
first-round,21/08/2004,16:00,UNION BERLIN,0,4,SC FREIBURG,,,,,0.0,3.0,2004
first-round,21/08/2004,16:00,FORTUNA DUSSELDORF,1,3,VfL BOCHUM,,,,,0.0,3.0,2004
first-round,21/08/2004,16:00,VfL OSNABRUCK,3,2,ERZGEBIRGE AUE,,,,,3.0,0.0,2004
first-round,21/08/2004,16:00,HANNOVER 96 II,0,3,ROT-WEISS OBERHAUSEN,,,,,0.0,3.0,2004
first-round,21/08/2004,16:00,FC SCHONBERG 95,0,15,FC KAISERSLAUTERN,,,,,0.0,3.0,2004
first-round,21/08/2004,18:00,TSV VOLPKE,0,6,BAYERN MUNICH,,,,,0.0,3.0,2004
first-round,21/08/2004,19:00,TUS MAYEN,0,6,VfB STUTTGART,,,,,0.0,3.0,2004
first-round,21/08/2004,19:30,FSV MAINZ 05 II,1,3,BAYER LEVERKUSEN,,,,,0.0,3.0,2004
first-round,21/08/2004,19:30,1899 HOFFENHEIM,1,2,HANSA ROSTOCK,,,,,0.0,3.0,2004
first-round,21/08/2004,19:30,HERTHA BERLIN II,0,2,FC SCHALKE 04,,,,,0.0,3.0,2004
first-round,21/08/2004,20:00,CARL ZEISS JENA,1,1,SpVgg GREUTHER FURTH,1,2,,,0.0,3.0,2004
first-round,22/08/2004,15:30,DYNAMO DRESDEN,1,2,KARLSRUHER SC,,,,,0.0,3.0,2004
first-round,22/08/2004,16:00,ROT-WEISS ESSEN,0,2,ALEMANNIA AACHEN,,,,,0.0,3.0,2004
first-round,22/08/2004,16:00,VfR AALEN,2,5,FSV MAINZ 05,,,,,0.0,3.0,2004
first-round,22/08/2004,16:00,GERMANIA SCHONEICHE,1,2,TSV 1860 MUNICH,,,,,0.0,3.0,2004
first-round,22/08/2004,16:00,SG WATTENSCHEID 09,1,3,EINTRACHT TRIER,,,,,0.0,3.0,2004
first-round,22/08/2004,16:00,FC KOLN II,0,3,VfL WOLFSBURG,,,,,0.0,3.0,2004
first-round,22/08/2004,16:00,VFR NEUMUNSTER,0,3,HANNOVER 96,,,,,0.0,3.0,2004
first-round,22/08/2004,16:00,BAYERN MUNICH II,1,1,BORUSSIA MONCHENGLADBACH,1,1,6,5,3.0,0.0,2004
first-round,22/08/2004,16:00,TSV AINDLING,0,1,HERTHA BERLIN,,,,,0.0,3.0,2004
first-round,22/08/2004,16:30,VFC PLAUEN,1,2,ARMINIA BIELEFELD,,,,,0.0,3.0,2004
second-round,21/09/2004,18:00,SC PADERBORN 07,2,1,MSV DUISBURG,,,,,3.0,0.0,2004
second-round,21/09/2004,20:00,KARLSRUHER SC,1,1,FSV MAINZ 05,1,1,3,0,3.0,0.0,2004
second-round,21/09/2004,20:00,SC FREIBURG,2,2,VfL BOCHUM,3,2,,,3.0,0.0,2004
second-round,21/09/2004,20:00,FC NURNBERG,2,2,LR AHLEN,2,3,,,0.0,3.0,2004
second-round,21/09/2004,20:00,TSV 1860 MUNICH,0,0,EINTRACHT TRIER,0,0,3,4,0.0,3.0,2004
second-round,21/09/2004,20:30,FC KOLN II,2,4,ARMINIA BIELEFELD,,,,,0.0,3.0,2004
second-round,21/09/2004,21:30,VfL OSNABRUCK,2,3,BAYERN MUNICH,,,,,0.0,3.0,2004
second-round,22/09/2004,20:00,ENERGIE COTTBUS,2,2,HANNOVER 96,2,2,4,5,0.0,3.0,2004
second-round,22/09/2004,20:00,ROT-WEISS OBERHAUSEN,0,2,VfB STUTTGART,,,,,0.0,3.0,2004
second-round,22/09/2004,20:00,FC KAISERSLAUTERN,3,3,FC SCHALKE 04,4,4,3,4,0.0,3.0,2004
second-round,22/09/2004,20:00,EINTRACHT BRAUNSCHWEIG,3,2,HERTHA BERLIN,,,,,3.0,0.0,2004
