Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,09/08/2013,21:30,BAYERN MUNICH,3,1,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2013
ROUND 1,10/08/2013,16:30,FC AUGSBURG,0,4,BORUSSIA DORTMUND,,,,,0.0,3.0,2013
ROUND 1,10/08/2013,16:30,BAYER LEVERKUSEN,3,1,SC FREIBURG,,,,,3.0,0.0,2013
ROUND 1,10/08/2013,16:30,HANNOVER 96,2,0,VfL WOLFSBURG,,,,,3.0,0.0,2013
ROUND 1,10/08/2013,16:30,1899 HOFFENHEIM,2,2,FC NURNBERG,,,,,1.0,1.0,2013
ROUND 1,10/08/2013,16:30,HERTHA BERLIN,6,1,EINTRACHT FRANKFURT,,,,,3.0,0.0,2013
ROUND 1,10/08/2013,19:30,EINTRACHT BRAUNSCHWEIG,0,1,WERDER BREMEN,,,,,0.0,3.0,2013
ROUND 1,11/08/2013,16:30,FSV MAINZ 05,3,2,VfB STUTTGART,,,,,3.0,0.0,2013
ROUND 1,11/08/2013,18:30,FC SCHALKE 04,3,3,HAMBURGER SV,,,,,1.0,1.0,2013
ROUND 2,17/08/2013,16:30,HAMBURGER SV,1,5,1899 HOFFENHEIM,,,,,0.0,3.0,2013
ROUND 2,17/08/2013,16:30,EINTRACHT FRANKFURT,0,1,BAYERN MUNICH,,,,,0.0,3.0,2013
ROUND 2,17/08/2013,16:30,VfL WOLFSBURG,4,0,FC SCHALKE 04,,,,,3.0,0.0,2013
ROUND 2,17/08/2013,16:30,WERDER BREMEN,1,0,FC AUGSBURG,,,,,3.0,0.0,2013
ROUND 2,17/08/2013,16:30,SC FREIBURG,1,2,FSV MAINZ 05,,,,,0.0,3.0,2013
ROUND 2,17/08/2013,16:30,VfB STUTTGART,0,1,BAYER LEVERKUSEN,,,,,0.0,3.0,2013
ROUND 2,17/08/2013,19:30,BORUSSIA MONCHENGLADBACH,3,0,HANNOVER 96,,,,,3.0,0.0,2013
ROUND 2,18/08/2013,16:30,FC NURNBERG,2,2,HERTHA BERLIN,,,,,1.0,1.0,2013
ROUND 2,18/08/2013,18:30,BORUSSIA DORTMUND,2,1,EINTRACHT BRAUNSCHWEIG,,,,,3.0,0.0,2013
ROUND 3,23/08/2013,21:30,BORUSSIA DORTMUND,1,0,WERDER BREMEN,,,,,3.0,0.0,2013
ROUND 3,24/08/2013,16:30,FSV MAINZ 05,2,0,VfL WOLFSBURG,,,,,3.0,0.0,2013
ROUND 3,24/08/2013,16:30,BAYERN MUNICH,2,0,FC NURNBERG,,,,,3.0,0.0,2013
ROUND 3,24/08/2013,16:30,BAYER LEVERKUSEN,4,2,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2013
ROUND 3,24/08/2013,16:30,HANNOVER 96,2,1,FC SCHALKE 04,,,,,3.0,0.0,2013
ROUND 3,24/08/2013,16:30,1899 HOFFENHEIM,3,3,SC FREIBURG,,,,,1.0,1.0,2013
ROUND 3,24/08/2013,19:30,HERTHA BERLIN,1,0,HAMBURGER SV,,,,,3.0,0.0,2013
ROUND 3,25/08/2013,16:30,EINTRACHT BRAUNSCHWEIG,0,2,EINTRACHT FRANKFURT,,,,,0.0,3.0,2013
ROUND 3,25/08/2013,18:30,FC AUGSBURG,2,1,VfB STUTTGART,,,,,3.0,0.0,2013
ROUND 4,27/08/2013,19:30,SC FREIBURG,1,1,BAYERN MUNICH,,,,,1.0,1.0,2013
ROUND 4,31/08/2013,16:30,HAMBURGER SV,4,0,EINTRACHT BRAUNSCHWEIG,,,,,3.0,0.0,2013
ROUND 4,31/08/2013,16:30,HANNOVER 96,4,1,FSV MAINZ 05,,,,,3.0,0.0,2013
ROUND 4,31/08/2013,16:30,VfL WOLFSBURG,2,0,HERTHA BERLIN,,,,,3.0,0.0,2013
ROUND 4,31/08/2013,16:30,FC NURNBERG,0,1,FC AUGSBURG,,,,,0.0,3.0,2013
ROUND 4,31/08/2013,16:30,BORUSSIA MONCHENGLADBACH,4,1,WERDER BREMEN,,,,,3.0,0.0,2013
ROUND 4,31/08/2013,19:30,FC SCHALKE 04,2,0,BAYER LEVERKUSEN,,,,,3.0,0.0,2013
ROUND 4,01/09/2013,16:30,VfB STUTTGART,6,2,1899 HOFFENHEIM,,,,,3.0,0.0,2013
ROUND 4,01/09/2013,18:30,EINTRACHT FRANKFURT,1,2,BORUSSIA DORTMUND,,,,,0.0,3.0,2013
ROUND 5,13/09/2013,21:30,HERTHA BERLIN,0,1,VfB STUTTGART,,,,,0.0,3.0,2013
ROUND 5,14/09/2013,16:30,BAYER LEVERKUSEN,3,1,VfL WOLFSBURG,,,,,3.0,0.0,2013
ROUND 5,14/09/2013,16:30,WERDER BREMEN,0,3,EINTRACHT FRANKFURT,,,,,0.0,3.0,2013
ROUND 5,14/09/2013,16:30,FSV MAINZ 05,0,1,FC SCHALKE 04,,,,,0.0,3.0,2013
ROUND 5,14/09/2013,16:30,FC AUGSBURG,2,1,SC FREIBURG,,,,,3.0,0.0,2013
ROUND 5,14/09/2013,16:30,BAYERN MUNICH,2,0,HANNOVER 96,,,,,3.0,0.0,2013
ROUND 5,14/09/2013,19:30,BORUSSIA DORTMUND,6,2,HAMBURGER SV,,,,,3.0,0.0,2013
ROUND 5,15/09/2013,16:30,1899 HOFFENHEIM,2,1,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2013
ROUND 5,15/09/2013,18:30,EINTRACHT BRAUNSCHWEIG,1,1,FC NURNBERG,,,,,1.0,1.0,2013
ROUND 6,20/09/2013,21:30,BORUSSIA MONCHENGLADBACH,4,1,EINTRACHT BRAUNSCHWEIG,,,,,3.0,0.0,2013
ROUND 6,21/09/2013,16:30,HAMBURGER SV,0,2,WERDER BREMEN,,,,,0.0,3.0,2013
ROUND 6,21/09/2013,16:30,VfL WOLFSBURG,2,1,1899 HOFFENHEIM,,,,,3.0,0.0,2013
ROUND 6,21/09/2013,16:30,FC NURNBERG,1,1,BORUSSIA DORTMUND,,,,,1.0,1.0,2013
ROUND 6,21/09/2013,16:30,FSV MAINZ 05,1,4,BAYER LEVERKUSEN,,,,,0.0,3.0,2013
ROUND 6,21/09/2013,16:30,HANNOVER 96,2,1,FC AUGSBURG,,,,,3.0,0.0,2013
ROUND 6,21/09/2013,19:30,FC SCHALKE 04,0,4,BAYERN MUNICH,,,,,0.0,3.0,2013
ROUND 6,22/09/2013,16:30,SC FREIBURG,1,1,HERTHA BERLIN,,,,,1.0,1.0,2013
ROUND 6,22/09/2013,18:30,VfB STUTTGART,1,1,EINTRACHT FRANKFURT,,,,,1.0,1.0,2013
ROUND 7,27/09/2013,21:30,FC AUGSBURG,2,2,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2013
ROUND 7,28/09/2013,16:30,BORUSSIA DORTMUND,5,0,SC FREIBURG,,,,,3.0,0.0,2013
ROUND 7,28/09/2013,16:30,BAYERN MUNICH,1,0,VfL WOLFSBURG,,,,,3.0,0.0,2013
ROUND 7,28/09/2013,16:30,BAYER LEVERKUSEN,2,0,HANNOVER 96,,,,,3.0,0.0,2013
ROUND 7,28/09/2013,16:30,HERTHA BERLIN,3,1,FSV MAINZ 05,,,,,3.0,0.0,2013
ROUND 7,28/09/2013,16:30,1899 HOFFENHEIM,3,3,FC SCHALKE 04,,,,,1.0,1.0,2013
ROUND 7,28/09/2013,19:30,EINTRACHT FRANKFURT,2,2,HAMBURGER SV,,,,,1.0,1.0,2013
ROUND 7,29/09/2013,16:30,WERDER BREMEN,3,3,FC NURNBERG,,,,,1.0,1.0,2013
ROUND 7,29/09/2013,18:30,EINTRACHT BRAUNSCHWEIG,0,4,VfB STUTTGART,,,,,0.0,3.0,2013
ROUND 8,04/10/2013,21:30,HANNOVER 96,1,1,HERTHA BERLIN,,,,,1.0,1.0,2013
ROUND 8,05/10/2013,16:30,FC SCHALKE 04,4,1,FC AUGSBURG,,,,,3.0,0.0,2013
ROUND 8,05/10/2013,16:30,BORUSSIA MONCHENGLADBACH,2,0,BORUSSIA DORTMUND,,,,,3.0,0.0,2013
ROUND 8,05/10/2013,16:30,VfB STUTTGART,1,1,WERDER BREMEN,,,,,1.0,1.0,2013
ROUND 8,05/10/2013,16:30,FSV MAINZ 05,2,2,1899 HOFFENHEIM,,,,,1.0,1.0,2013
ROUND 8,05/10/2013,16:30,VfL WOLFSBURG,0,2,EINTRACHT BRAUNSCHWEIG,,,,,0.0,3.0,2013
ROUND 8,05/10/2013,19:30,BAYER LEVERKUSEN,1,1,BAYERN MUNICH,,,,,1.0,1.0,2013
ROUND 8,06/10/2013,16:30,FC NURNBERG,0,5,HAMBURGER SV,,,,,0.0,3.0,2013
ROUND 8,06/10/2013,18:30,SC FREIBURG,1,1,EINTRACHT FRANKFURT,,,,,1.0,1.0,2013
ROUND 9,18/10/2013,21:30,1899 HOFFENHEIM,1,2,BAYER LEVERKUSEN,,,,,0.0,3.0,2013
ROUND 9,19/10/2013,16:30,EINTRACHT BRAUNSCHWEIG,2,3,FC SCHALKE 04,,,,,0.0,3.0,2013
ROUND 9,19/10/2013,16:30,EINTRACHT FRANKFURT,1,1,FC NURNBERG,,,,,1.0,1.0,2013
ROUND 9,19/10/2013,16:30,BORUSSIA DORTMUND,1,0,HANNOVER 96,,,,,3.0,0.0,2013
ROUND 9,19/10/2013,16:30,BAYERN MUNICH,4,1,FSV MAINZ 05,,,,,3.0,0.0,2013
ROUND 9,19/10/2013,16:30,WERDER BREMEN,0,0,SC FREIBURG,,,,,1.0,1.0,2013
ROUND 9,19/10/2013,19:30,HERTHA BERLIN,1,0,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2013
