Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,24/08/2012,21:30,BORUSSIA DORTMUND,2,1,WERDER BREMEN,,,,,3.0,0.0,2012
ROUND 1,25/08/2012,16:30,FC AUGSBURG,0,2,FORTUNA DUSSELDORF,,,,,0.0,3.0,2012
ROUND 1,25/08/2012,16:30,HAMBURGER SV,0,1,FC NURNBERG,,,,,0.0,3.0,2012
ROUND 1,25/08/2012,16:30,SC FREIBURG,1,1,FSV MAINZ 05,,,,,1.0,1.0,2012
ROUND 1,25/08/2012,16:30,BORUSSIA MONCHENGLADBACH,2,1,1899 HOFFENHEIM,,,,,3.0,0.0,2012
ROUND 1,25/08/2012,16:30,SpVgg GREUTHER FURTH,0,3,BAYERN MUNICH,,,,,0.0,3.0,2012
ROUND 1,25/08/2012,19:30,EINTRACHT FRANKFURT,2,1,BAYER LEVERKUSEN,,,,,3.0,0.0,2012
ROUND 1,25/08/2012,21:45,VfB STUTTGART,0,1,VfL WOLFSBURG,,,,,0.0,3.0,2012
ROUND 1,26/08/2012,18:30,HANNOVER 96,2,2,FC SCHALKE 04,,,,,1.0,1.0,2012
ROUND 2,31/08/2012,21:30,FSV MAINZ 05,0,1,SpVgg GREUTHER FURTH,,,,,0.0,3.0,2012
ROUND 2,01/09/2012,16:30,BAYER LEVERKUSEN,2,0,SC FREIBURG,,,,,3.0,0.0,2012
ROUND 2,01/09/2012,16:30,FC SCHALKE 04,3,1,FC AUGSBURG,,,,,3.0,0.0,2012
ROUND 2,01/09/2012,16:30,1899 HOFFENHEIM,0,4,EINTRACHT FRANKFURT,,,,,0.0,3.0,2012
ROUND 2,01/09/2012,16:30,WERDER BREMEN,2,0,HAMBURGER SV,,,,,3.0,0.0,2012
ROUND 2,01/09/2012,16:30,FC NURNBERG,1,1,BORUSSIA DORTMUND,,,,,1.0,1.0,2012
ROUND 2,01/09/2012,19:30,FORTUNA DUSSELDORF,0,0,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2012
ROUND 2,02/09/2012,16:30,VfL WOLFSBURG,0,4,HANNOVER 96,,,,,0.0,3.0,2012
ROUND 2,02/09/2012,18:30,BAYERN MUNICH,6,1,VfB STUTTGART,,,,,3.0,0.0,2012
ROUND 3,14/09/2012,21:30,FC AUGSBURG,0,0,VfL WOLFSBURG,,,,,1.0,1.0,2012
ROUND 3,15/09/2012,16:30,VfB STUTTGART,0,0,FORTUNA DUSSELDORF,,,,,1.0,1.0,2012
ROUND 3,15/09/2012,16:30,HANNOVER 96,3,2,WERDER BREMEN,,,,,3.0,0.0,2012
ROUND 3,15/09/2012,16:30,BAYERN MUNICH,3,1,FSV MAINZ 05,,,,,3.0,0.0,2012
ROUND 3,15/09/2012,16:30,BORUSSIA MONCHENGLADBACH,2,3,FC NURNBERG,,,,,0.0,3.0,2012
ROUND 3,15/09/2012,16:30,BORUSSIA DORTMUND,3,0,BAYER LEVERKUSEN,,,,,3.0,0.0,2012
ROUND 3,15/09/2012,19:30,SpVgg GREUTHER FURTH,0,2,FC SCHALKE 04,,,,,0.0,3.0,2012
ROUND 3,16/09/2012,16:30,SC FREIBURG,5,3,1899 HOFFENHEIM,,,,,3.0,0.0,2012
ROUND 3,16/09/2012,18:30,EINTRACHT FRANKFURT,3,2,HAMBURGER SV,,,,,3.0,0.0,2012
ROUND 4,21/09/2012,21:30,FC NURNBERG,1,2,EINTRACHT FRANKFURT,,,,,0.0,3.0,2012
ROUND 4,22/09/2012,16:30,FORTUNA DUSSELDORF,0,0,SC FREIBURG,,,,,1.0,1.0,2012
ROUND 4,22/09/2012,16:30,FSV MAINZ 05,2,0,FC AUGSBURG,,,,,3.0,0.0,2012
ROUND 4,22/09/2012,16:30,HAMBURGER SV,3,2,BORUSSIA DORTMUND,,,,,3.0,0.0,2012
ROUND 4,22/09/2012,16:30,VfL WOLFSBURG,1,1,SpVgg GREUTHER FURTH,,,,,1.0,1.0,2012
ROUND 4,22/09/2012,16:30,FC SCHALKE 04,0,2,BAYERN MUNICH,,,,,0.0,3.0,2012
ROUND 4,23/09/2012,16:30,BAYER LEVERKUSEN,1,1,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2012
ROUND 4,23/09/2012,18:30,1899 HOFFENHEIM,3,1,HANNOVER 96,,,,,3.0,0.0,2012
ROUND 4,23/09/2012,18:30,WERDER BREMEN,2,2,VfB STUTTGART,,,,,1.0,1.0,2012
ROUND 5,25/09/2012,21:00,SpVgg GREUTHER FURTH,0,2,FORTUNA DUSSELDORF,,,,,0.0,3.0,2012
ROUND 5,25/09/2012,21:00,EINTRACHT FRANKFURT,3,3,BORUSSIA DORTMUND,,,,,1.0,1.0,2012
ROUND 5,25/09/2012,21:00,BAYERN MUNICH,3,0,VfL WOLFSBURG,,,,,3.0,0.0,2012
ROUND 5,25/09/2012,21:00,FC SCHALKE 04,3,0,FSV MAINZ 05,,,,,3.0,0.0,2012
ROUND 5,26/09/2012,21:00,FC AUGSBURG,1,3,BAYER LEVERKUSEN,,,,,0.0,3.0,2012
ROUND 5,26/09/2012,21:00,HANNOVER 96,4,1,FC NURNBERG,,,,,3.0,0.0,2012
ROUND 5,26/09/2012,21:00,SC FREIBURG,1,2,WERDER BREMEN,,,,,0.0,3.0,2012
ROUND 5,26/09/2012,21:00,BORUSSIA MONCHENGLADBACH,2,2,HAMBURGER SV,,,,,1.0,1.0,2012
ROUND 5,26/09/2012,21:00,VfB STUTTGART,0,3,1899 HOFFENHEIM,,,,,0.0,3.0,2012
ROUND 6,28/09/2012,21:30,FORTUNA DUSSELDORF,2,2,FC SCHALKE 04,,,,,1.0,1.0,2012
ROUND 6,29/09/2012,16:30,HAMBURGER SV,1,0,HANNOVER 96,,,,,3.0,0.0,2012
ROUND 6,29/09/2012,16:30,FC NURNBERG,0,2,VfB STUTTGART,,,,,0.0,3.0,2012
ROUND 6,29/09/2012,16:30,1899 HOFFENHEIM,0,0,FC AUGSBURG,,,,,1.0,1.0,2012
ROUND 6,29/09/2012,16:30,WERDER BREMEN,0,2,BAYERN MUNICH,,,,,0.0,3.0,2012
ROUND 6,29/09/2012,16:30,BAYER LEVERKUSEN,2,0,SpVgg GREUTHER FURTH,,,,,3.0,0.0,2012
ROUND 6,29/09/2012,19:30,BORUSSIA DORTMUND,5,0,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2012
ROUND 6,30/09/2012,16:30,EINTRACHT FRANKFURT,2,1,SC FREIBURG,,,,,3.0,0.0,2012
ROUND 6,30/09/2012,18:30,VfL WOLFSBURG,0,2,FSV MAINZ 05,,,,,0.0,3.0,2012
ROUND 7,05/10/2012,21:30,FC AUGSBURG,3,1,WERDER BREMEN,,,,,3.0,0.0,2012
ROUND 7,06/10/2012,16:30,SpVgg GREUTHER FURTH,0,1,HAMBURGER SV,,,,,0.0,3.0,2012
ROUND 7,06/10/2012,16:30,SC FREIBURG,3,0,FC NURNBERG,,,,,3.0,0.0,2012
ROUND 7,06/10/2012,16:30,FSV MAINZ 05,1,0,FORTUNA DUSSELDORF,,,,,3.0,0.0,2012
ROUND 7,06/10/2012,16:30,FC SCHALKE 04,3,0,VfL WOLFSBURG,,,,,3.0,0.0,2012
ROUND 7,06/10/2012,16:30,BAYERN MUNICH,2,0,1899 HOFFENHEIM,,,,,3.0,0.0,2012
