Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,22/08/2014,21:30,BAYERN MUNICH,2,1,VfL WOLFSBURG,,,,,3.0,0.0,2014
ROUND 1,23/08/2014,16:30,EINTRACHT FRANKFURT,1,0,SC FREIBURG,,,,,3.0,0.0,2014
ROUND 1,23/08/2014,16:30,HERTHA BERLIN,2,2,WERDER BREMEN,,,,,1.0,1.0,2014
ROUND 1,23/08/2014,16:30,HANNOVER 96,2,1,FC SCHALKE 04,,,,,3.0,0.0,2014
ROUND 1,23/08/2014,16:30,1899 HOFFENHEIM,2,0,FC AUGSBURG,,,,,3.0,0.0,2014
ROUND 1,23/08/2014,16:30,FC KOLN,0,0,HAMBURGER SV,,,,,1.0,1.0,2014
ROUND 1,23/08/2014,19:30,BORUSSIA DORTMUND,0,2,BAYER LEVERKUSEN,,,,,0.0,3.0,2014
ROUND 1,24/08/2014,16:30,SC PADERBORN 07,2,2,FSV MAINZ 05,,,,,1.0,1.0,2014
ROUND 1,24/08/2014,18:30,BORUSSIA MONCHENGLADBACH,1,1,VfB STUTTGART,,,,,1.0,1.0,2014
ROUND 2,29/08/2014,21:30,FC AUGSBURG,2,3,BORUSSIA DORTMUND,,,,,0.0,3.0,2014
ROUND 2,30/08/2014,16:30,VfB STUTTGART,0,2,FC KOLN,,,,,0.0,3.0,2014
ROUND 2,30/08/2014,16:30,WERDER BREMEN,1,1,1899 HOFFENHEIM,,,,,1.0,1.0,2014
ROUND 2,30/08/2014,16:30,VfL WOLFSBURG,2,2,EINTRACHT FRANKFURT,,,,,1.0,1.0,2014
ROUND 2,30/08/2014,16:30,BAYER LEVERKUSEN,4,2,HERTHA BERLIN,,,,,3.0,0.0,2014
ROUND 2,30/08/2014,16:30,HAMBURGER SV,0,3,SC PADERBORN 07,,,,,0.0,3.0,2014
ROUND 2,30/08/2014,19:30,FC SCHALKE 04,1,1,BAYERN MUNICH,,,,,1.0,1.0,2014
ROUND 2,31/08/2014,16:30,FSV MAINZ 05,0,0,HANNOVER 96,,,,,1.0,1.0,2014
ROUND 2,31/08/2014,18:30,SC FREIBURG,0,0,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2014
ROUND 3,12/09/2014,21:30,BAYER LEVERKUSEN,3,3,WERDER BREMEN,,,,,1.0,1.0,2014
ROUND 3,13/09/2014,16:30,HERTHA BERLIN,1,3,FSV MAINZ 05,,,,,0.0,3.0,2014
ROUND 3,13/09/2014,16:30,1899 HOFFENHEIM,1,1,VfL WOLFSBURG,,,,,1.0,1.0,2014
ROUND 3,13/09/2014,16:30,BORUSSIA DORTMUND,3,1,SC FREIBURG,,,,,3.0,0.0,2014
ROUND 3,13/09/2014,16:30,BAYERN MUNICH,2,0,VfB STUTTGART,,,,,3.0,0.0,2014
ROUND 3,13/09/2014,16:30,SC PADERBORN 07,0,0,FC KOLN,,,,,1.0,1.0,2014
ROUND 3,13/09/2014,19:30,BORUSSIA MONCHENGLADBACH,4,1,FC SCHALKE 04,,,,,3.0,0.0,2014
ROUND 3,14/09/2014,16:30,EINTRACHT FRANKFURT,0,1,FC AUGSBURG,,,,,0.0,3.0,2014
ROUND 3,14/09/2014,18:30,HANNOVER 96,2,0,HAMBURGER SV,,,,,3.0,0.0,2014
ROUND 4,19/09/2014,21:30,SC FREIBURG,2,2,HERTHA BERLIN,,,,,1.0,1.0,2014
ROUND 4,20/09/2014,16:30,FC SCHALKE 04,2,2,EINTRACHT FRANKFURT,,,,,1.0,1.0,2014
ROUND 4,20/09/2014,16:30,HAMBURGER SV,0,0,BAYERN MUNICH,,,,,1.0,1.0,2014
ROUND 4,20/09/2014,16:30,VfB STUTTGART,0,2,1899 HOFFENHEIM,,,,,0.0,3.0,2014
ROUND 4,20/09/2014,16:30,FC AUGSBURG,4,2,WERDER BREMEN,,,,,3.0,0.0,2014
ROUND 4,20/09/2014,16:30,SC PADERBORN 07,2,0,HANNOVER 96,,,,,3.0,0.0,2014
ROUND 4,20/09/2014,19:30,FSV MAINZ 05,2,0,BORUSSIA DORTMUND,,,,,3.0,0.0,2014
ROUND 4,21/09/2014,16:30,VfL WOLFSBURG,4,1,BAYER LEVERKUSEN,,,,,3.0,0.0,2014
ROUND 4,21/09/2014,18:30,FC KOLN,0,0,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2014
ROUND 5,23/09/2014,21:00,BAYERN MUNICH,4,0,SC PADERBORN 07,,,,,3.0,0.0,2014
ROUND 5,23/09/2014,21:00,EINTRACHT FRANKFURT,2,2,FSV MAINZ 05,,,,,1.0,1.0,2014
ROUND 5,23/09/2014,21:00,WERDER BREMEN,0,3,FC SCHALKE 04,,,,,0.0,3.0,2014
ROUND 5,23/09/2014,21:00,1899 HOFFENHEIM,3,3,SC FREIBURG,,,,,1.0,1.0,2014
ROUND 5,24/09/2014,21:00,BORUSSIA MONCHENGLADBACH,1,0,HAMBURGER SV,,,,,3.0,0.0,2014
ROUND 5,24/09/2014,21:00,BAYER LEVERKUSEN,1,0,FC AUGSBURG,,,,,3.0,0.0,2014
ROUND 5,24/09/2014,21:00,BORUSSIA DORTMUND,2,2,VfB STUTTGART,,,,,1.0,1.0,2014
ROUND 5,24/09/2014,21:00,HERTHA BERLIN,1,0,VfL WOLFSBURG,,,,,3.0,0.0,2014
ROUND 5,24/09/2014,21:00,HANNOVER 96,1,0,FC KOLN,,,,,3.0,0.0,2014
ROUND 6,26/09/2014,21:30,FSV MAINZ 05,0,0,1899 HOFFENHEIM,,,,,1.0,1.0,2014
ROUND 6,27/09/2014,16:30,FC SCHALKE 04,2,1,BORUSSIA DORTMUND,,,,,3.0,0.0,2014
ROUND 6,27/09/2014,16:30,SC PADERBORN 07,1,2,BORUSSIA MONCHENGLADBACH,,,,,0.0,3.0,2014
