Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,20/08/2010,21:30,BAYERN MUNICH,2,1,VfL WOLFSBURG,,,,,3.0,0.0,2010
ROUND 1,21/08/2010,16:30,1899 HOFFENHEIM,4,1,WERDER BREMEN,,,,,3.0,0.0,2010
ROUND 1,21/08/2010,16:30,HANNOVER 96,2,1,EINTRACHT FRANKFURT,,,,,3.0,0.0,2010
ROUND 1,21/08/2010,16:30,SC FREIBURG,1,3,FC ST. PAULI,,,,,0.0,3.0,2010
ROUND 1,21/08/2010,16:30,FC KOLN,1,3,FC KAISERSLAUTERN,,,,,0.0,3.0,2010
ROUND 1,21/08/2010,16:30,BORUSSIA MONCHENGLADBACH,1,1,FC NURNBERG,,,,,1.0,1.0,2010
ROUND 1,21/08/2010,19:30,HAMBURGER SV,2,1,FC SCHALKE 04,,,,,3.0,0.0,2010
ROUND 1,22/08/2010,16:30,FSV MAINZ 05,2,0,VfB STUTTGART,,,,,3.0,0.0,2010
ROUND 1,22/08/2010,18:30,BORUSSIA DORTMUND,0,2,BAYER LEVERKUSEN,,,,,0.0,3.0,2010
ROUND 2,27/08/2010,21:30,FC KAISERSLAUTERN,2,0,BAYERN MUNICH,,,,,3.0,0.0,2010
ROUND 2,28/08/2010,16:30,WERDER BREMEN,4,2,FC KOLN,,,,,3.0,0.0,2010
ROUND 2,28/08/2010,16:30,FC SCHALKE 04,1,2,HANNOVER 96,,,,,0.0,3.0,2010
ROUND 2,28/08/2010,16:30,FC NURNBERG,1,2,SC FREIBURG,,,,,0.0,3.0,2010
ROUND 2,28/08/2010,16:30,EINTRACHT FRANKFURT,1,3,HAMBURGER SV,,,,,0.0,3.0,2010
ROUND 2,28/08/2010,16:30,VfL WOLFSBURG,3,4,FSV MAINZ 05,,,,,0.0,3.0,2010
ROUND 2,28/08/2010,19:30,FC ST. PAULI,0,1,1899 HOFFENHEIM,,,,,0.0,3.0,2010
ROUND 2,29/08/2010,16:30,BAYER LEVERKUSEN,3,6,BORUSSIA MONCHENGLADBACH,,,,,0.0,3.0,2010
ROUND 2,29/08/2010,18:30,VfB STUTTGART,1,3,BORUSSIA DORTMUND,,,,,0.0,3.0,2010
ROUND 3,10/09/2010,21:30,1899 HOFFENHEIM,2,0,FC SCHALKE 04,,,,,3.0,0.0,2010
ROUND 3,11/09/2010,16:30,BORUSSIA MONCHENGLADBACH,0,4,EINTRACHT FRANKFURT,,,,,0.0,3.0,2010
ROUND 3,11/09/2010,16:30,SC FREIBURG,2,1,VfB STUTTGART,,,,,3.0,0.0,2010
ROUND 3,11/09/2010,16:30,HANNOVER 96,2,2,BAYER LEVERKUSEN,,,,,1.0,1.0,2010
ROUND 3,11/09/2010,16:30,HAMBURGER SV,1,1,FC NURNBERG,,,,,1.0,1.0,2010
ROUND 3,11/09/2010,16:30,BORUSSIA DORTMUND,2,0,VfL WOLFSBURG,,,,,3.0,0.0,2010
ROUND 3,11/09/2010,19:30,BAYERN MUNICH,0,0,WERDER BREMEN,,,,,1.0,1.0,2010
ROUND 3,12/09/2010,16:30,FSV MAINZ 05,2,1,FC KAISERSLAUTERN,,,,,3.0,0.0,2010
ROUND 3,12/09/2010,18:30,FC KOLN,1,0,FC ST. PAULI,,,,,3.0,0.0,2010
ROUND 4,17/09/2010,21:30,EINTRACHT FRANKFURT,0,1,SC FREIBURG,,,,,0.0,3.0,2010
ROUND 4,18/09/2010,16:30,WERDER BREMEN,0,2,FSV MAINZ 05,,,,,0.0,3.0,2010
ROUND 4,18/09/2010,16:30,FC KAISERSLAUTERN,2,2,1899 HOFFENHEIM,,,,,1.0,1.0,2010
ROUND 4,18/09/2010,16:30,VfL WOLFSBURG,2,0,HANNOVER 96,,,,,3.0,0.0,2010
ROUND 4,18/09/2010,16:30,VfB STUTTGART,7,0,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2010
