Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,11/08/2006,21:45,BAYERN MUNICH,2,0,BORUSSIA DORTMUND,,,,,3.0,0.0,2006
ROUND 1,12/08/2006,16:30,BORUSSIA MONCHENGLADBACH,2,0,ENERGIE COTTBUS,,,,,3.0,0.0,2006
ROUND 1,12/08/2006,16:30,VfB STUTTGART,0,3,FC NURNBERG,,,,,0.0,3.0,2006
ROUND 1,12/08/2006,16:30,BAYER LEVERKUSEN,3,0,ALEMANNIA AACHEN,,,,,3.0,0.0,2006
ROUND 1,12/08/2006,16:30,FSV MAINZ 05,2,1,VfL BOCHUM,,,,,3.0,0.0,2006
ROUND 1,12/08/2006,16:30,FC SCHALKE 04,1,1,EINTRACHT FRANKFURT,,,,,1.0,1.0,2006
ROUND 1,12/08/2006,16:30,HAMBURGER SV,1,1,ARMINIA BIELEFELD,,,,,1.0,1.0,2006
ROUND 1,13/08/2006,18:00,VfL WOLFSBURG,0,0,HERTHA BERLIN,,,,,1.0,1.0,2006
ROUND 1,13/08/2006,18:00,HANNOVER 96,2,4,WERDER BREMEN,,,,,0.0,3.0,2006
ROUND 2,18/08/2006,21:30,FC NURNBERG,1,0,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2006
ROUND 2,19/08/2006,16:30,BORUSSIA DORTMUND,1,1,FSV MAINZ 05,,,,,1.0,1.0,2006
ROUND 2,19/08/2006,16:30,HERTHA BERLIN,4,0,HANNOVER 96,,,,,3.0,0.0,2006
ROUND 2,19/08/2006,16:30,WERDER BREMEN,2,1,BAYER LEVERKUSEN,,,,,3.0,0.0,2006
ROUND 2,19/08/2006,16:30,EINTRACHT FRANKFURT,0,0,VfL WOLFSBURG,,,,,1.0,1.0,2006
ROUND 2,19/08/2006,16:30,ENERGIE COTTBUS,2,2,HAMBURGER SV,,,,,1.0,1.0,2006
ROUND 2,19/08/2006,16:30,ALEMANNIA AACHEN,0,1,FC SCHALKE 04,,,,,0.0,3.0,2006
ROUND 2,20/08/2006,18:00,VfL BOCHUM,1,2,BAYERN MUNICH,,,,,0.0,3.0,2006
ROUND 2,20/08/2006,18:00,ARMINIA BIELEFELD,2,3,VfB STUTTGART,,,,,0.0,3.0,2006
ROUND 3,25/08/2006,21:30,FC SCHALKE 04,2,0,WERDER BREMEN,,,,,3.0,0.0,2006
ROUND 3,26/08/2006,16:30,BAYERN MUNICH,0,0,FC NURNBERG,,,,,1.0,1.0,2006
ROUND 3,26/08/2006,16:30,BORUSSIA MONCHENGLADBACH,1,0,ARMINIA BIELEFELD,,,,,3.0,0.0,2006
ROUND 3,26/08/2006,16:30,VfB STUTTGART,1,3,BORUSSIA DORTMUND,,,,,0.0,3.0,2006
ROUND 3,26/08/2006,16:30,VfL BOCHUM,0,1,ENERGIE COTTBUS,,,,,0.0,3.0,2006
ROUND 3,26/08/2006,16:30,HANNOVER 96,0,3,ALEMANNIA AACHEN,,,,,0.0,3.0,2006
ROUND 3,26/08/2006,16:40,BAYER LEVERKUSEN,1,1,VfL WOLFSBURG,,,,,1.0,1.0,2006
