Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,15/08/2008,21:40,BAYERN MUNICH,2,2,HAMBURGER SV,,,,,1.0,1.0,2008
ROUND 1,16/08/2008,16:30,VfL WOLFSBURG,2,1,FC KOLN,,,,,3.0,0.0,2008
ROUND 1,16/08/2008,16:30,FC SCHALKE 04,3,0,HANNOVER 96,,,,,3.0,0.0,2008
ROUND 1,16/08/2008,16:30,ARMINIA BIELEFELD,2,2,WERDER BREMEN,,,,,1.0,1.0,2008
ROUND 1,16/08/2008,16:30,ENERGIE COTTBUS,0,3,1899 HOFFENHEIM,,,,,0.0,3.0,2008
ROUND 1,16/08/2008,16:30,KARLSRUHER SC,1,0,VfL BOCHUM,,,,,3.0,0.0,2008
ROUND 1,16/08/2008,16:30,BAYER LEVERKUSEN,2,3,BORUSSIA DORTMUND,,,,,0.0,3.0,2008
ROUND 1,17/08/2008,18:00,BORUSSIA MONCHENGLADBACH,1,3,VfB STUTTGART,,,,,0.0,3.0,2008
ROUND 1,17/08/2008,18:00,EINTRACHT FRANKFURT,0,2,HERTHA BERLIN,,,,,0.0,3.0,2008
ROUND 2,22/08/2008,21:30,HANNOVER 96,0,0,ENERGIE COTTBUS,,,,,1.0,1.0,2008
ROUND 2,23/08/2008,16:30,VfB STUTTGART,0,2,BAYER LEVERKUSEN,,,,,0.0,3.0,2008
ROUND 2,23/08/2008,16:30,HAMBURGER SV,2,1,KARLSRUHER SC,,,,,3.0,0.0,2008
ROUND 2,23/08/2008,16:30,WERDER BREMEN,1,1,FC SCHALKE 04,,,,,1.0,1.0,2008
ROUND 2,23/08/2008,16:30,1899 HOFFENHEIM,1,0,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2008
ROUND 2,23/08/2008,16:30,BORUSSIA DORTMUND,1,1,BAYERN MUNICH,,,,,1.0,1.0,2008
ROUND 2,23/08/2008,16:30,HERTHA BERLIN,1,1,ARMINIA BIELEFELD,,,,,1.0,1.0,2008
ROUND 2,24/08/2008,18:00,FC KOLN,1,1,EINTRACHT FRANKFURT,,,,,1.0,1.0,2008
ROUND 2,24/08/2008,18:00,VfL BOCHUM,2,2,VfL WOLFSBURG,,,,,1.0,1.0,2008
ROUND 3,29/08/2008,21:30,KARLSRUHER SC,0,2,FC KOLN,,,,,0.0,3.0,2008
ROUND 3,30/08/2008,16:30,VfL WOLFSBURG,2,2,EINTRACHT FRANKFURT,,,,,1.0,1.0,2008
ROUND 3,30/08/2008,16:30,FC SCHALKE 04,1,0,VfL BOCHUM,,,,,3.0,0.0,2008
ROUND 3,30/08/2008,16:30,BORUSSIA MONCHENGLADBACH,3,2,WERDER BREMEN,,,,,3.0,0.0,2008
ROUND 3,30/08/2008,16:30,ARMINIA BIELEFELD,2,4,HAMBURGER SV,,,,,0.0,3.0,2008
ROUND 3,30/08/2008,16:30,ENERGIE COTTBUS,0,1,BORUSSIA DORTMUND,,,,,0.0,3.0,2008
ROUND 3,30/08/2008,16:30,BAYER LEVERKUSEN,5,2,1899 HOFFENHEIM,,,,,3.0,0.0,2008
ROUND 3,31/08/2008,18:00,VfB STUTTGART,2,0,HANNOVER 96,,,,,3.0,0.0,2008
ROUND 3,31/08/2008,18:00,BAYERN MUNICH,4,1,HERTHA BERLIN,,,,,3.0,0.0,2008
ROUND 4,13/09/2008,16:30,HERTHA BERLIN,2,2,VfL WOLFSBURG,,,,,1.0,1.0,2008
ROUND 4,13/09/2008,16:30,HAMBURGER SV,3,2,BAYER LEVERKUSEN,,,,,3.0,0.0,2008
