Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,26/08/2016,21:30,BAYERN MUNICH,6,0,WERDER BREMEN,,,,,3.0,0.0,2016
ROUND 1,27/08/2016,16:30,FC AUGSBURG,0,2,VfL WOLFSBURG,,,,,0.0,3.0,2016
ROUND 1,27/08/2016,16:30,HAMBURGER SV,1,1,FC INGOLSTADT 04,,,,,1.0,1.0,2016
ROUND 1,27/08/2016,16:30,FC KOLN,2,0,SV DARMSTADT 98,,,,,3.0,0.0,2016
ROUND 1,27/08/2016,16:30,BORUSSIA DORTMUND,2,1,FSV MAINZ 05,,,,,3.0,0.0,2016
ROUND 1,27/08/2016,16:30,EINTRACHT FRANKFURT,1,0,FC SCHALKE 04,,,,,3.0,0.0,2016
ROUND 1,27/08/2016,19:30,BORUSSIA MONCHENGLADBACH,2,1,BAYER LEVERKUSEN,,,,,3.0,0.0,2016
ROUND 1,28/08/2016,16:30,HERTHA BERLIN,2,1,SC FREIBURG,,,,,3.0,0.0,2016
ROUND 1,28/08/2016,18:30,1899 HOFFENHEIM,2,2,RB LEIPZIG,,,,,1.0,1.0,2016
ROUND 2,09/09/2016,21:30,FC SCHALKE 04,0,2,BAYERN MUNICH,,,,,0.0,3.0,2016
ROUND 2,10/09/2016,16:30,SC FREIBURG,3,1,BORUSSIA MONCHENGLADBACH,,,,,3.0,0.0,2016
ROUND 2,10/09/2016,16:30,SV DARMSTADT 98,1,0,EINTRACHT FRANKFURT,,,,,3.0,0.0,2016
ROUND 2,10/09/2016,16:30,BAYER LEVERKUSEN,3,1,HAMBURGER SV,,,,,3.0,0.0,2016
ROUND 2,10/09/2016,16:30,FC INGOLSTADT 04,0,2,HERTHA BERLIN,,,,,0.0,3.0,2016
ROUND 2,10/09/2016,16:30,VfL WOLFSBURG,0,0,FC KOLN,,,,,1.0,1.0,2016
ROUND 2,10/09/2016,19:30,RB LEIPZIG,1,0,BORUSSIA DORTMUND,,,,,3.0,0.0,2016
ROUND 2,11/09/2016,16:30,WERDER BREMEN,1,2,FC AUGSBURG,,,,,0.0,3.0,2016
ROUND 2,11/09/2016,18:30,FSV MAINZ 05,4,4,1899 HOFFENHEIM,,,,,1.0,1.0,2016
ROUND 3,16/09/2016,21:30,FC KOLN,3,0,SC FREIBURG,,,,,3.0,0.0,2016
ROUND 3,17/09/2016,16:30,EINTRACHT FRANKFURT,2,1,BAYER LEVERKUSEN,,,,,3.0,0.0,2016
ROUND 3,17/09/2016,16:30,BORUSSIA DORTMUND,6,0,SV DARMSTADT 98,,,,,3.0,0.0,2016
ROUND 3,17/09/2016,16:30,BAYERN MUNICH,3,1,FC INGOLSTADT 04,,,,,3.0,0.0,2016
ROUND 3,17/09/2016,16:30,1899 HOFFENHEIM,0,0,VfL WOLFSBURG,,,,,1.0,1.0,2016
ROUND 3,17/09/2016,16:30,HAMBURGER SV,0,4,RB LEIPZIG,,,,,0.0,3.0,2016
ROUND 3,17/09/2016,19:30,BORUSSIA MONCHENGLADBACH,4,1,WERDER BREMEN,,,,,3.0,0.0,2016
ROUND 3,18/09/2016,16:30,FC AUGSBURG,1,3,FSV MAINZ 05,,,,,0.0,3.0,2016
ROUND 3,18/09/2016,18:30,HERTHA BERLIN,2,0,FC SCHALKE 04,,,,,3.0,0.0,2016
ROUND 4,20/09/2016,21:00,FC INGOLSTADT 04,0,2,EINTRACHT FRANKFURT,,,,,0.0,3.0,2016
ROUND 4,20/09/2016,21:00,VfL WOLFSBURG,1,5,BORUSSIA DORTMUND,,,,,0.0,3.0,2016
ROUND 4,20/09/2016,21:00,SC FREIBURG,1,0,HAMBURGER SV,,,,,3.0,0.0,2016
ROUND 4,20/09/2016,21:00,SV DARMSTADT 98,1,1,1899 HOFFENHEIM,,,,,1.0,1.0,2016
ROUND 4,21/09/2016,21:00,BAYER LEVERKUSEN,0,0,FC AUGSBURG,,,,,1.0,1.0,2016
ROUND 4,21/09/2016,21:00,WERDER BREMEN,1,2,FSV MAINZ 05,,,,,0.0,3.0,2016
ROUND 4,21/09/2016,21:00,FC SCHALKE 04,1,3,FC KOLN,,,,,0.0,3.0,2016
ROUND 4,21/09/2016,21:00,RB LEIPZIG,1,1,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2016
ROUND 4,21/09/2016,21:00,BAYERN MUNICH,3,0,HERTHA BERLIN,,,,,3.0,0.0,2016
ROUND 5,23/09/2016,21:30,BORUSSIA DORTMUND,3,1,SC FREIBURG,,,,,3.0,0.0,2016
ROUND 5,24/09/2016,16:30,FSV MAINZ 05,2,3,BAYER LEVERKUSEN,,,,,0.0,3.0,2016
ROUND 5,24/09/2016,16:30,EINTRACHT FRANKFURT,3,3,HERTHA BERLIN,,,,,1.0,1.0,2016
ROUND 5,24/09/2016,16:30,FC AUGSBURG,1,0,SV DARMSTADT 98,,,,,3.0,0.0,2016
ROUND 5,24/09/2016,16:30,HAMBURGER SV,0,1,BAYERN MUNICH,,,,,0.0,3.0,2016
ROUND 5,24/09/2016,16:30,BORUSSIA MONCHENGLADBACH,2,0,FC INGOLSTADT 04,,,,,3.0,0.0,2016
ROUND 5,24/09/2016,19:30,WERDER BREMEN,2,1,VfL WOLFSBURG,,,,,3.0,0.0,2016
