Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
second-round,16/08/2014,21:30,CITTADELLA,2,1,PONTEDERA,,,,,3.0,0.0,2014
second-round,16/08/2014,21:30,SPEZIA,1,0,LECCE,,,,,3.0,0.0,2014
second-round,16/08/2014,21:30,VIRTUS ENTELLA,2,2,BENEVENTO,2,2,5,4,3.0,0.0,2014
second-round,16/08/2014,21:30,MODENA,0,0,MONZA,0,0,3,2,3.0,0.0,2014
second-round,17/08/2014,18:00,LIVORNO,2,4,BASSANO VIRTUS,,,,,0.0,3.0,2014
second-round,17/08/2014,19:00,AVELLINO,2,0,VENEZIA,,,,,3.0,0.0,2014
second-round,17/08/2014,21:30,PESCARA,1,1,RENATE,1,1,5,4,3.0,0.0,2014
second-round,17/08/2014,21:30,PISA,2,1,CARPI,,,,,3.0,0.0,2014
second-round,17/08/2014,21:30,CATANIA,1,0,SUDTIROL,,,,,3.0,0.0,2014
second-round,17/08/2014,21:30,VARESE,3,2,JUVE STABIA,,,,,3.0,0.0,2014
second-round,17/08/2014,21:30,VIRTUS LANCIANO,1,0,ALESSANDRIA,,,,,3.0,0.0,2014
second-round,17/08/2014,21:30,TERNANA,2,1,CATANZARO,,,,,3.0,0.0,2014
second-round,17/08/2014,21:45,LATINA,1,1,NOVARA,1,1,4,3,3.0,0.0,2014
second-round,17/08/2014,21:45,BRESCIA,2,1,PRO VERCELLI,,,,,3.0,0.0,2014
second-round,17/08/2014,21:45,FROSINONE,0,0,COMO,0,0,1,3,0.0,3.0,2014
second-round,17/08/2014,21:45,PERUGIA,2,0,FERALPISALO,,,,,3.0,0.0,2014
second-round,17/08/2014,21:45,TRAPANI,1,2,CREMONESE,,,,,0.0,3.0,2014
second-round,17/08/2014,21:45,CROTONE,0,0,CASERTANA,0,0,3,4,0.0,3.0,2014
second-round,17/08/2014,22:00,BARI,2,1,SAVONA,,,,,3.0,0.0,2014
second-round,17/08/2014,22:00,BOLOGNA,1,1,L AQUILA,1,2,,,0.0,3.0,2014
third-round,21/08/2014,21:30,SASSUOLO,4,1,CITTADELLA,,,,,3.0,0.0,2014
third-round,22/08/2014,21:30,PESCARA,1,0,CHIEVO,,,,,3.0,0.0,2014
third-round,23/08/2014,19:00,ATALANTA,2,0,PISA,,,,,3.0,0.0,2014
third-round,23/08/2014,21:30,VARESE,1,0,VIRTUS ENTELLA,,,,,3.0,0.0,2014
third-round,23/08/2014,21:45,PERUGIA,1,1,SPEZIA,2,1,,,3.0,0.0,2014
third-round,23/08/2014,21:45,PALERMO,0,3,MODENA,,,,,0.0,3.0,2014
third-round,23/08/2014,22:00,BARI,1,2,AVELLINO,,,,,0.0,3.0,2014
third-round,23/08/2014,22:00,CAGLIARI,2,0,CATANIA,,,,,3.0,0.0,2014
third-round,24/08/2014,20:00,VIRTUS LANCIANO,0,1,GENOA,,,,,0.0,3.0,2014
third-round,24/08/2014,21:30,BRESCIA,1,0,LATINA,,,,,3.0,0.0,2014
third-round,24/08/2014,21:30,LAZIO,7,0,BASSANO VIRTUS,,,,,3.0,0.0,2014
third-round,24/08/2014,21:30,VERONA,3,0,CREMONESE,,,,,3.0,0.0,2014
third-round,24/08/2014,21:45,SAMPDORIA,4,1,COMO,,,,,3.0,0.0,2014
third-round,24/08/2014,21:45,EMPOLI,3,0,L AQUILA,,,,,3.0,0.0,2014
third-round,24/08/2014,21:45,CESENA,1,0,CASERTANA,,,,,3.0,0.0,2014
third-round,24/08/2014,22:00,UDINESE,5,1,TERNANA,,,,,3.0,0.0,2014
fourth-round,02/12/2014,17:00,LAZIO,3,0,VARESE,,,,,3.0,0.0,2014
fourth-round,02/12/2014,19:00,SASSUOLO,1,0,PESCARA,,,,,3.0,0.0,2014
fourth-round,02/12/2014,22:00,VERONA,1,0,PERUGIA,,,,,3.0,0.0,2014
fourth-round,03/12/2014,16:00,ATALANTA,2,0,AVELLINO,,,,,3.0,0.0,2014
fourth-round,03/12/2014,19:00,EMPOLI,2,0,GENOA,,,,,3.0,0.0,2014
fourth-round,03/12/2014,22:00,UDINESE,2,2,CESENA,4,2,,,3.0,0.0,2014
fourth-round,04/12/2014,19:00,CAGLIARI,2,2,MODENA,4,4,5,4,3.0,0.0,2014
fourth-round,04/12/2014,22:00,SAMPDORIA,2,0,BRESCIA,,,,,3.0,0.0,2014
round-16,13/01/2015,22:00,AC MILAN,2,1,SASSUOLO,,,,,3.0,0.0,2014
round-16,14/01/2015,19:00,PARMA,2,1,CAGLIARI,,,,,3.0,0.0,2014
round-16,14/01/2015,22:00,TORINO,1,3,LAZIO,,,,,0.0,3.0,2014
round-16,15/01/2015,22:00,JUVENTUS,6,1,VERONA,,,,,3.0,0.0,2014
round-16,20/01/2015,22:00,ROMA,1,1,EMPOLI,2,1,,,3.0,0.0,2014
round-16,21/01/2015,19:00,FIORENTINA,3,1,ATALANTA,,,,,3.0,0.0,2014
round-16,21/01/2015,22:00,INTER,2,0,SAMPDORIA,,,,,3.0,0.0,2014
round-16,22/01/2015,22:00,NAPOLI,1,1,UDINESE,2,2,5,4,3.0,0.0,2014
quarter-finals,27/01/2015,21:45,AC MILAN,0,1,LAZIO,,,,,0.0,3.0,2014
quarter-finals,28/01/2015,21:45,PARMA,0,1,JUVENTUS,,,,,0.0,3.0,2014
quarter-finals,03/02/2015,21:45,ROMA,0,2,FIORENTINA,,,,,0.0,3.0,2014
quarter-finals,04/02/2015,21:45,NAPOLI,1,0,INTER,,,,,3.0,0.0,2014
semi-finals,04/03/2015,21:45,LAZIO,1,1,NAPOLI,,,,,1.0,1.0,2014
semi-finals,05/03/2015,21:45,JUVENTUS,1,2,FIORENTINA,,,,,0.0,3.0,2014
semi-finals,07/04/2015,21:45,FIORENTINA,0,3,JUVENTUS,,,,,0.0,3.0,2014
semi-finals,08/04/2015,21:45,NAPOLI,0,1,LAZIO,,,,,0.0,3.0,2014
final,20/05/2015,21:45,JUVENTUS,1,1,LAZIO,2,1,,,3.0,0.0,2014
