Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,07/08/2010,22:00,MARSEILLE,1,2,CAEN,,,,,0.0,3.0,2010
ROUND 1,07/08/2010,22:00,LYON,0,0,MONACO,,,,,1.0,1.0,2010
ROUND 1,07/08/2010,22:00,AUXERRE,2,2,LORIENT,,,,,1.0,1.0,2010
ROUND 1,07/08/2010,22:00,LENS,1,2,NANCY,,,,,0.0,3.0,2010
ROUND 1,07/08/2010,22:00,TOULOUSE,2,0,STADE BRESTOIS 29,,,,,3.0,0.0,2010
ROUND 1,07/08/2010,22:00,RENNES,1,1,LILLE,,,,,1.0,1.0,2010
ROUND 1,07/08/2010,22:00,SOCHAUX,2,1,ARLES,,,,,3.0,0.0,2010
ROUND 1,07/08/2010,22:00,NICE,0,0,VALENCIENNES,,,,,1.0,1.0,2010
ROUND 1,07/08/2010,22:00,PARIS SAINT GERMAIN,3,1,ST ETIENNE,,,,,3.0,0.0,2010
ROUND 1,08/08/2010,22:00,MONTPELLIER,1,0,BORDEAUX,,,,,3.0,0.0,2010
ROUND 2,14/08/2010,20:00,LORIENT,1,2,NICE,,,,,0.0,3.0,2010
ROUND 2,14/08/2010,20:00,STADE BRESTOIS 29,1,1,AUXERRE,,,,,1.0,1.0,2010
ROUND 2,14/08/2010,20:00,ST ETIENNE,3,2,SOCHAUX,,,,,3.0,0.0,2010
ROUND 2,14/08/2010,20:00,VALENCIENNES,3,2,MARSEILLE,,,,,3.0,0.0,2010
ROUND 2,14/08/2010,20:00,NANCY,0,3,RENNES,,,,,0.0,3.0,2010
ROUND 2,14/08/2010,22:00,ARLES,0,1,LENS,,,,,0.0,3.0,2010
ROUND 2,15/08/2010,18:00,CAEN,3,2,LYON,,,,,3.0,0.0,2010
ROUND 2,15/08/2010,18:00,BORDEAUX,1,2,TOULOUSE,,,,,0.0,3.0,2010
ROUND 2,15/08/2010,22:00,LILLE,0,0,PARIS SAINT GERMAIN,,,,,1.0,1.0,2010
