Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,06/08/2004,21:45,NICE,0,1,LYON,,,,,0.0,3.0,2004
ROUND 1,07/08/2004,18:15,ST ETIENNE,0,1,MONACO,,,,,0.0,3.0,2004
ROUND 1,07/08/2004,21:00,MARSEILLE,1,0,BORDEAUX,,,,,3.0,0.0,2004
ROUND 1,07/08/2004,21:00,METZ,1,0,NANTES,,,,,3.0,0.0,2004
ROUND 1,07/08/2004,21:00,BASTIA,2,1,STRASBOURG,,,,,3.0,0.0,2004
ROUND 1,07/08/2004,21:00,CAEN,1,1,ISTRES,,,,,1.0,1.0,2004
ROUND 1,07/08/2004,21:00,LILLE,2,0,AUXERRE,,,,,3.0,0.0,2004
ROUND 1,07/08/2004,21:00,RENNES,2,1,PARIS SAINT GERMAIN,,,,,3.0,0.0,2004
ROUND 1,07/08/2004,21:00,SOCHAUX,1,0,AJACCIO,,,,,3.0,0.0,2004
ROUND 1,07/08/2004,21:00,TOULOUSE,0,0,LENS,,,,,1.0,1.0,2004
ROUND 2,14/08/2004,18:15,PARIS SAINT GERMAIN,2,2,CAEN,,,,,1.0,1.0,2004
ROUND 2,14/08/2004,21:00,NANTES,1,1,BASTIA,,,,,1.0,1.0,2004
ROUND 2,14/08/2004,21:00,MONACO,2,1,ISTRES,,,,,3.0,0.0,2004
ROUND 2,14/08/2004,21:00,AUXERRE,3,1,RENNES,,,,,3.0,0.0,2004
ROUND 2,14/08/2004,21:00,LYON,1,1,SOCHAUX,,,,,1.0,1.0,2004
ROUND 2,14/08/2004,21:00,AJACCIO,1,2,METZ,,,,,0.0,3.0,2004
ROUND 2,14/08/2004,21:00,BORDEAUX,5,1,NICE,,,,,3.0,0.0,2004
ROUND 2,14/08/2004,21:00,LENS,3,0,ST ETIENNE,,,,,3.0,0.0,2004
ROUND 2,14/08/2004,21:00,STRASBOURG,1,4,TOULOUSE,,,,,0.0,3.0,2004
ROUND 2,15/08/2004,22:00,MARSEILLE,3,0,LILLE,,,,,3.0,0.0,2004
ROUND 3,21/08/2004,18:15,NICE,1,1,MARSEILLE,,,,,1.0,1.0,2004
ROUND 3,21/08/2004,21:00,RENNES,1,0,NANTES,,,,,3.0,0.0,2004
ROUND 3,21/08/2004,21:00,LILLE,0,0,BORDEAUX,,,,,1.0,1.0,2004
ROUND 3,21/08/2004,21:00,ISTRES,0,2,LENS,,,,,0.0,3.0,2004
ROUND 3,21/08/2004,21:00,BASTIA,1,0,AJACCIO,,,,,3.0,0.0,2004
ROUND 3,21/08/2004,21:00,CAEN,1,0,MONACO,,,,,3.0,0.0,2004
ROUND 3,21/08/2004,21:00,TOULOUSE,2,1,PARIS SAINT GERMAIN,,,,,3.0,0.0,2004
ROUND 3,21/08/2004,21:00,ST ETIENNE,1,1,STRASBOURG,,,,,1.0,1.0,2004
ROUND 3,21/08/2004,21:00,SOCHAUX,1,2,AUXERRE,,,,,0.0,3.0,2004
ROUND 3,22/08/2004,19:00,METZ,1,1,LYON,,,,,1.0,1.0,2004
ROUND 4,27/08/2004,21:00,NICE,1,1,BASTIA,,,,,1.0,1.0,2004
ROUND 4,28/08/2004,18:15,BORDEAUX,2,0,SOCHAUX,,,,,3.0,0.0,2004
ROUND 4,28/08/2004,21:00,STRASBOURG,1,1,ISTRES,,,,,1.0,1.0,2004
ROUND 4,28/08/2004,21:00,LENS,1,1,MONACO,,,,,1.0,1.0,2004
ROUND 4,28/08/2004,21:00,NANTES,2,2,TOULOUSE,,,,,1.0,1.0,2004
ROUND 4,28/08/2004,21:00,LYON,1,0,LILLE,,,,,3.0,0.0,2004
ROUND 4,28/08/2004,21:00,MARSEILLE,1,3,METZ,,,,,0.0,3.0,2004
ROUND 4,28/08/2004,21:00,AJACCIO,1,1,RENNES,,,,,1.0,1.0,2004
ROUND 4,28/08/2004,21:00,AUXERRE,1,0,CAEN,,,,,3.0,0.0,2004
ROUND 4,29/08/2004,19:00,PARIS SAINT GERMAIN,2,2,ST ETIENNE,,,,,1.0,1.0,2004
ROUND 5,11/09/2004,18:15,BASTIA,1,0,AUXERRE,,,,,3.0,0.0,2004
ROUND 5,11/09/2004,21:00,TOULOUSE,3,1,AJACCIO,,,,,3.0,0.0,2004
ROUND 5,11/09/2004,21:00,ST ETIENNE,0,0,NANTES,,,,,1.0,1.0,2004
ROUND 5,11/09/2004,21:00,LILLE,1,0,NICE,,,,,3.0,0.0,2004
ROUND 5,11/09/2004,21:00,ISTRES,1,1,PARIS SAINT GERMAIN,,,,,1.0,1.0,2004
ROUND 5,11/09/2004,21:00,CAEN,1,0,LENS,,,,,3.0,0.0,2004
ROUND 5,11/09/2004,21:00,MONACO,3,1,STRASBOURG,,,,,3.0,0.0,2004
ROUND 5,11/09/2004,21:00,METZ,0,0,BORDEAUX,,,,,1.0,1.0,2004
ROUND 5,11/09/2004,21:30,RENNES,1,2,LYON,,,,,0.0,3.0,2004
ROUND 5,12/09/2004,22:00,SOCHAUX,2,0,MARSEILLE,,,,,3.0,0.0,2004
ROUND 6,18/09/2004,18:15,BORDEAUX,0,0,RENNES,,,,,1.0,1.0,2004
ROUND 6,18/09/2004,21:00,STRASBOURG,2,2,LENS,,,,,1.0,1.0,2004
ROUND 6,18/09/2004,21:00,LYON,0,0,BASTIA,,,,,1.0,1.0,2004
ROUND 6,18/09/2004,21:00,NANTES,1,0,ISTRES,,,,,3.0,0.0,2004
ROUND 6,18/09/2004,21:00,MARSEILLE,1,0,TOULOUSE,,,,,3.0,0.0,2004
ROUND 6,18/09/2004,21:00,AJACCIO,1,1,ST ETIENNE,,,,,1.0,1.0,2004
ROUND 6,19/09/2004,20:00,NICE,2,1,SOCHAUX,,,,,3.0,0.0,2004
ROUND 6,19/09/2004,20:00,LILLE,2,0,CAEN,,,,,3.0,0.0,2004
ROUND 6,19/09/2004,20:00,AUXERRE,4,0,METZ,,,,,3.0,0.0,2004
ROUND 6,19/09/2004,22:00,PARIS SAINT GERMAIN,0,1,MONACO,,,,,0.0,3.0,2004
ROUND 7,21/09/2004,22:00,TOULOUSE,0,2,LYON,,,,,0.0,3.0,2004
ROUND 7,22/09/2004,19:00,RENNES,1,0,MARSEILLE,,,,,3.0,0.0,2004
ROUND 7,22/09/2004,21:30,CAEN,0,0,STRASBOURG,,,,,1.0,1.0,2004
ROUND 7,22/09/2004,21:30,BASTIA,1,4,BORDEAUX,,,,,0.0,3.0,2004
ROUND 7,22/09/2004,21:30,SOCHAUX,0,2,LILLE,,,,,0.0,3.0,2004
ROUND 7,22/09/2004,21:30,ST ETIENNE,3,1,AUXERRE,,,,,3.0,0.0,2004
ROUND 7,22/09/2004,21:30,MONACO,2,1,NANTES,,,,,3.0,0.0,2004
ROUND 7,22/09/2004,21:30,METZ,1,1,NICE,,,,,1.0,1.0,2004
ROUND 7,22/09/2004,21:30,LENS,2,2,PARIS SAINT GERMAIN,,,,,1.0,1.0,2004
ROUND 7,22/09/2004,21:30,ISTRES,0,1,AJACCIO,,,,,0.0,3.0,2004
ROUND 8,25/09/2004,18:15,LYON,0,0,MONACO,,,,,1.0,1.0,2004
