Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,04/08/2006,22:00,NANTES,1,3,LYON,,,,,0.0,3.0,2006
ROUND 1,05/08/2006,18:15,RENNES,1,2,LILLE,,,,,0.0,3.0,2006
ROUND 1,05/08/2006,21:00,ST ETIENNE,1,2,SOCHAUX,,,,,0.0,3.0,2006
ROUND 1,05/08/2006,21:00,PARIS SAINT GERMAIN,2,3,LORIENT,,,,,0.0,3.0,2006
ROUND 1,05/08/2006,21:00,NANCY,1,0,MONACO,,,,,3.0,0.0,2006
ROUND 1,05/08/2006,21:00,LENS,1,0,ESTAC TROYES,,,,,3.0,0.0,2006
ROUND 1,05/08/2006,21:00,LE MANS,1,0,NICE,,,,,3.0,0.0,2006
ROUND 1,05/08/2006,21:00,BORDEAUX,2,0,TOULOUSE,,,,,3.0,0.0,2006
ROUND 1,05/08/2006,21:00,AUXERRE,1,1,VALENCIENNES,,,,,1.0,1.0,2006
ROUND 1,06/08/2006,19:00,SEDAN,0,0,MARSEILLE,,,,,1.0,1.0,2006
ROUND 2,12/08/2006,18:15,LORIENT,0,1,BORDEAUX,,,,,0.0,3.0,2006
ROUND 2,12/08/2006,21:00,ESTAC TROYES,2,2,LE MANS,,,,,1.0,1.0,2006
ROUND 2,12/08/2006,21:00,SOCHAUX,1,1,AUXERRE,,,,,1.0,1.0,2006
ROUND 2,12/08/2006,21:00,NICE,1,1,NANTES,,,,,1.0,1.0,2006
ROUND 2,12/08/2006,21:00,NANCY,3,1,SEDAN,,,,,3.0,0.0,2006
ROUND 2,12/08/2006,21:00,VALENCIENNES,0,0,PARIS SAINT GERMAIN,,,,,1.0,1.0,2006
ROUND 2,12/08/2006,21:00,MONACO,1,2,ST ETIENNE,,,,,0.0,3.0,2006
ROUND 2,12/08/2006,21:00,LYON,1,1,TOULOUSE,,,,,1.0,1.0,2006
ROUND 2,13/08/2006,19:00,LILLE,4,0,LENS,,,,,3.0,0.0,2006
ROUND 2,13/08/2006,22:00,MARSEILLE,2,0,RENNES,,,,,3.0,0.0,2006
ROUND 3,19/08/2006,18:15,AUXERRE,0,3,MARSEILLE,,,,,0.0,3.0,2006
ROUND 3,19/08/2006,21:00,SEDAN,1,1,SOCHAUX,,,,,1.0,1.0,2006
ROUND 3,19/08/2006,21:00,ST ETIENNE,1,0,NANCY,,,,,3.0,0.0,2006
ROUND 3,19/08/2006,21:00,RENNES,1,1,MONACO,,,,,1.0,1.0,2006
ROUND 3,19/08/2006,21:00,PARIS SAINT GERMAIN,1,0,LILLE,,,,,3.0,0.0,2006
ROUND 3,19/08/2006,21:00,NANTES,1,1,ESTAC TROYES,,,,,1.0,1.0,2006
ROUND 3,19/08/2006,21:00,LENS,1,1,LORIENT,,,,,1.0,1.0,2006
ROUND 3,19/08/2006,21:00,LE MANS,3,2,VALENCIENNES,,,,,3.0,0.0,2006
ROUND 3,20/08/2006,19:00,TOULOUSE,1,0,NICE,,,,,3.0,0.0,2006
ROUND 3,20/08/2006,22:00,BORDEAUX,1,2,LYON,,,,,0.0,3.0,2006
ROUND 4,26/08/2006,18:15,NICE,1,4,LYON,,,,,0.0,3.0,2006
ROUND 4,26/08/2006,21:00,ESTAC TROYES,1,2,TOULOUSE,,,,,0.0,3.0,2006
ROUND 4,26/08/2006,21:00,SOCHAUX,3,2,PARIS SAINT GERMAIN,,,,,3.0,0.0,2006
ROUND 4,26/08/2006,21:00,LORIENT,3,1,NANTES,,,,,3.0,0.0,2006
ROUND 4,26/08/2006,21:00,LILLE,3,0,BORDEAUX,,,,,3.0,0.0,2006
ROUND 4,27/08/2006,19:00,VALENCIENNES,3,1,RENNES,,,,,3.0,0.0,2006
ROUND 4,27/08/2006,19:00,NANCY,1,0,AUXERRE,,,,,3.0,0.0,2006
ROUND 4,27/08/2006,19:00,MONACO,2,1,SEDAN,,,,,3.0,0.0,2006
ROUND 4,27/08/2006,19:00,MARSEILLE,2,0,LE MANS,,,,,3.0,0.0,2006
ROUND 4,27/08/2006,22:00,ST ETIENNE,3,2,LENS,,,,,3.0,0.0,2006
ROUND 5,09/09/2006,18:15,BORDEAUX,3,2,NICE,,,,,3.0,0.0,2006
ROUND 5,09/09/2006,21:00,SEDAN,2,2,ST ETIENNE,,,,,1.0,1.0,2006
ROUND 5,09/09/2006,21:00,RENNES,2,1,SOCHAUX,,,,,3.0,0.0,2006
ROUND 5,09/09/2006,21:00,NANTES,1,1,LILLE,,,,,1.0,1.0,2006
ROUND 5,09/09/2006,21:00,AUXERRE,2,1,MONACO,,,,,3.0,0.0,2006
ROUND 5,09/09/2006,21:00,LYON,2,0,ESTAC TROYES,,,,,3.0,0.0,2006
ROUND 5,09/09/2006,21:00,LENS,3,0,VALENCIENNES,,,,,3.0,0.0,2006
ROUND 5,09/09/2006,21:00,LE MANS,1,1,LORIENT,,,,,1.0,1.0,2006
ROUND 5,10/09/2006,19:00,TOULOUSE,2,2,NANCY,,,,,1.0,1.0,2006
ROUND 5,10/09/2006,22:00,PARIS SAINT GERMAIN,1,3,MARSEILLE,,,,,0.0,3.0,2006
ROUND 6,16/09/2006,18:15,SEDAN,1,2,LE MANS,,,,,0.0,3.0,2006
ROUND 6,16/09/2006,21:00,LORIENT,1,3,LYON,,,,,0.0,3.0,2006
ROUND 6,16/09/2006,21:00,LILLE,1,3,TOULOUSE,,,,,0.0,3.0,2006
ROUND 6,16/09/2006,21:00,VALENCIENNES,1,0,NANTES,,,,,3.0,0.0,2006
ROUND 6,16/09/2006,21:00,ESTAC TROYES,2,0,NICE,,,,,3.0,0.0,2006
ROUND 6,17/09/2006,19:00,NANCY,0,0,RENNES,,,,,1.0,1.0,2006
ROUND 6,17/09/2006,19:00,MONACO,1,2,PARIS SAINT GERMAIN,,,,,0.0,3.0,2006
ROUND 6,17/09/2006,19:00,SOCHAUX,0,3,LENS,,,,,0.0,3.0,2006
ROUND 6,17/09/2006,19:00,ST ETIENNE,2,3,AUXERRE,,,,,0.0,3.0,2006
ROUND 6,17/09/2006,22:00,MARSEILLE,2,1,BORDEAUX,,,,,3.0,0.0,2006
ROUND 7,23/09/2006,18:15,LYON,4,1,LILLE,,,,,3.0,0.0,2006
ROUND 7,23/09/2006,21:00,TOULOUSE,0,0,LORIENT,,,,,1.0,1.0,2006
ROUND 7,23/09/2006,21:00,RENNES,0,0,ST ETIENNE,,,,,1.0,1.0,2006
ROUND 7,23/09/2006,21:00,PARIS SAINT GERMAIN,0,0,NANCY,,,,,1.0,1.0,2006
ROUND 7,23/09/2006,21:00,NICE,2,0,VALENCIENNES,,,,,3.0,0.0,2006
ROUND 7,23/09/2006,21:00,LE MANS,2,2,SOCHAUX,,,,,1.0,1.0,2006
ROUND 7,23/09/2006,21:00,BORDEAUX,2,1,ESTAC TROYES,,,,,3.0,0.0,2006
ROUND 7,23/09/2006,21:00,AUXERRE,2,2,SEDAN,,,,,1.0,1.0,2006
ROUND 7,24/09/2006,19:30,LENS,1,0,MONACO,,,,,3.0,0.0,2006
ROUND 7,24/09/2006,22:00,NANTES,2,1,MARSEILLE,,,,,3.0,0.0,2006
ROUND 8,30/09/2006,18:15,SOCHAUX,0,1,LYON,,,,,0.0,3.0,2006
ROUND 8,30/09/2006,21:00,SEDAN,1,0,RENNES,,,,,3.0,0.0,2006
ROUND 8,30/09/2006,21:00,VALENCIENNES,2,0,BORDEAUX,,,,,3.0,0.0,2006
ROUND 8,30/09/2006,21:00,LORIENT,0,0,ESTAC TROYES,,,,,1.0,1.0,2006
ROUND 8,30/09/2006,21:00,LILLE,1,0,NICE,,,,,3.0,0.0,2006
