Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
first-round,06/11/2015,21:55,SALFORD CITY,2,0,NOTTS COUNTY,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,PORTSMOUTH,2,1,MACCLESFIELD,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,BURY,4,0,WIGAN,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,CRAWLEY TOWN,1,2,LUTON,,,,,0.0,3.0,2015
first-round,07/11/2015,17:00,SHEFFIELD UTD,3,0,WORCESTER,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,MILLWALL,3,1,AFC FYLDE,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,BARNET,2,0,BLACKPOOL,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,WALSALL,2,0,FLEETWOOD TOWN,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,DAGENHAM & REDBRIDGE,0,0,MORECAMBE,,,,,1.0,1.0,2015
first-round,07/11/2015,17:00,LEYTON ORIENT,6,1,STAINES TOWN,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,BURTON ALBION,0,3,PETERBOROUGH,,,,,0.0,3.0,2015
first-round,07/11/2015,17:00,AFC WIMBLEDON,1,2,FOREST GREEN,,,,,0.0,3.0,2015
first-round,07/11/2015,17:00,NORTHWICH,1,1,BOREHAM WOOD,,,,,1.0,1.0,2015
first-round,07/11/2015,17:00,SCUNTHORPE,2,1,SOUTHEND,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,BARWELL,0,2,WELLING,,,,,0.0,3.0,2015
first-round,07/11/2015,17:00,HARTLEPOOL,1,0,CHELTENHAM,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,PLYMOUTH,0,2,CARLISLE,,,,,0.0,3.0,2015
first-round,07/11/2015,17:00,STEVENAGE,3,0,GILLINGHAM,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,ACCRINGTON ST,3,2,YORK,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,DONCASTER,2,0,STALYBRIDGE,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,WEALDSTONE,2,6,COLCHESTER,,,,,0.0,3.0,2015
first-round,07/11/2015,17:00,ROCHDALE,3,1,SWINDON TOWN,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,CAMBRIDGE UNITED,1,0,BASINGSTOKE,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,GRIMSBY,5,1,ST ALBANS,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,DOVER,1,2,STOURBRIDGE,,,,,0.0,3.0,2015
first-round,07/11/2015,17:00,ALTRINCHAM,1,0,BARNSLEY,,,,,3.0,0.0,2015
first-round,07/11/2015,17:00,MANSFIELD,0,0,OLDHAM,,,,,1.0,1.0,2015
first-round,07/11/2015,17:00,COVENTRY,1,2,NORTHAMPTON,,,,,0.0,3.0,2015
