Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
first-round,06/11/2020,21:45,HARROGATE TOWN,4,1,SKELMERSDALE UNITED,,,,,3.0,0.0,2020
first-round,07/11/2020,14:30,TONBRIDGE ANGELS,0,7,BRADFORD,,,,,0.0,3.0,2020
first-round,07/11/2020,15:00,EXETER,2,1,AFC FYLDE,,,,,3.0,0.0,2020
first-round,07/11/2020,17:00,BOREHAM WOOD,2,2,SOUTHEND,3,3,4,3,3.0,0.0,2020
first-round,07/11/2020,17:00,IPSWICH,2,2,PORTSMOUTH,2,3,,,0.0,3.0,2020
first-round,07/11/2020,17:00,BROMLEY,0,0,YEOVIL,0,1,,,0.0,3.0,2020
first-round,07/11/2020,17:00,PORT VALE,0,1,KINGS LYNN,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,HULL CITY,2,0,FLEETWOOD TOWN,,,,,3.0,0.0,2020
first-round,07/11/2020,17:00,COLCHESTER,1,1,MARINE,1,1,3,5,0.0,3.0,2020
first-round,07/11/2020,17:00,WALSALL,1,2,BRISTOL ROVERS,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,DAGENHAM & REDBRIDGE,3,1,GRIMSBY,,,,,3.0,0.0,2020
first-round,07/11/2020,17:00,ROCHDALE,1,2,STOCKPORT,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,CAMBRIDGE UNITED,0,2,SHREWSBURY,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,SWINDON TOWN,1,2,DARLINGTON FC,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,BRACKLEY TOWN,3,3,BISHOP S STORTFORD,3,3,3,2,3.0,0.0,2020
first-round,07/11/2020,17:00,TRANMERE,2,1,ACCRINGTON ST,,,,,3.0,0.0,2020
first-round,07/11/2020,17:00,SALFORD CITY,0,0,HARTLEPOOL,2,0,,,3.0,0.0,2020
first-round,07/11/2020,17:00,OXFORD UNITED,1,2,PETERBOROUGH,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,LINCOLN,6,2,FOREST GREEN,,,,,3.0,0.0,2020
first-round,07/11/2020,17:00,BANBURY UNITED,1,2,CANVEY,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,CHELTENHAM,3,1,SOUTH SHIELDS,,,,,3.0,0.0,2020
first-round,07/11/2020,17:00,GILLINGHAM,3,2,WOKING,,,,,3.0,0.0,2020
first-round,07/11/2020,17:00,CHARLTON,0,1,PLYMOUTH,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,LEYTON ORIENT,1,2,NEWPORT COUNTY,,,,,0.0,3.0,2020
first-round,07/11/2020,17:00,SUNDERLAND,0,1,MANSFIELD,,,,,0.0,3.0,2020
first-round,07/11/2020,17:05,BOLTON,2,3,CREWE,,,,,0.0,3.0,2020
first-round,07/11/2020,17:05,STEVENAGE,1,1,CONCORD RANGERS,2,2,5,4,3.0,0.0,2020
first-round,07/11/2020,19:30,FC UTD OF MANCHESTER,1,5,DONCASTER,,,,,0.0,3.0,2020
first-round,08/11/2020,14:00,SCUNTHORPE,2,3,SOLIHULL MOORS,,,,,0.0,3.0,2020
first-round,08/11/2020,14:45,EASTLEIGH,0,0,MILTON KEYNES DONS,0,0,3,4,0.0,3.0,2020
first-round,08/11/2020,14:45,HAMPTON & RICHMOND,2,3,OLDHAM,,,,,0.0,3.0,2020
first-round,08/11/2020,14:45,MALDON & TIPTREE,0,1,MORECAMBE,,,,,0.0,3.0,2020
first-round,08/11/2020,14:45,BARNET,1,0,BURTON ALBION,,,,,3.0,0.0,2020
first-round,08/11/2020,14:45,WIGAN,2,2,CHORLEY,2,3,,,0.0,3.0,2020
first-round,08/11/2020,14:45,HAYES & YEADING,0,0,CARLISLE,2,2,3,4,0.0,3.0,2020
first-round,08/11/2020,14:45,TORQUAY,3,3,CRAWLEY TOWN,5,6,,,0.0,3.0,2020
first-round,08/11/2020,14:45,HAVANT & WATERLOOVILLE,1,0,CRAY VALLEY PAPER MILLS,,,,,3.0,0.0,2020
first-round,08/11/2020,16:35,EASTBOURNE BOROUGH,0,3,BLACKPOOL,,,,,0.0,3.0,2020
first-round,09/11/2020,21:45,OXFORD CITY,2,1,NORTHAMPTON,,,,,3.0,0.0,2020
first-round,26/11/2020,21:45,BARROW,0,0,AFC WIMBLEDON,0,0,2,4,0.0,3.0,2020
second-round,27/11/2020,21:55,TRANMERE,1,0,BRACKLEY TOWN,,,,,3.0,0.0,2020
second-round,28/11/2020,14:30,MORECAMBE,2,2,SOLIHULL MOORS,3,3,,,1.0,1.0,2020
second-round,28/11/2020,15:00,NEWPORT COUNTY,3,0,SALFORD CITY,,,,,3.0,0.0,2020
second-round,28/11/2020,15:00,GILLINGHAM,2,3,EXETER,,,,,0.0,3.0,2020
second-round,28/11/2020,17:00,BRADFORD,1,2,OLDHAM,,,,,0.0,3.0,2020
second-round,28/11/2020,17:00,HARROGATE TOWN,0,4,BLACKPOOL,,,,,0.0,3.0,2020
