Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
FIRST ROUND,05/11/2021,21:55,AFC SUDBURY,0,4,COLCHESTER,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,15:00,SCUNTHORPE,0,1,DONCASTER,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,16:00,GILLINGHAM,1,1,CHELTENHAM,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,17:00,WIGAN,0,0,SOLIHULL MOORS,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,17:00,SUNDERLAND,0,1,MANSFIELD,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,LEYTON ORIENT,1,0,EBBSFLEET UNITED,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,BOREHAM WOOD,2,0,EASTLEIGH,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,HAYES & YEADING,0,1,SUTTON UTD,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,KIDDERMINSTER,1,0,GRIMSBY,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,BRADFORD,1,1,EXETER,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,17:00,CRAWLEY TOWN,0,1,TRANMERE,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,MORECAMBE,1,0,NEWPORT COUNTY,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,IPSWICH,1,1,OLDHAM,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,17:00,MILTON KEYNES DONS,2,2,STEVENAGE,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,17:00,FLEETWOOD TOWN,1,2,BURTON ALBION,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,YORK,0,1,BUXTON,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,LINCOLN,1,0,BOWERS & PITSEA FC,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,GATESHEAD,2,2,ALTRINCHAM,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,17:00,KINGS LYNN,0,1,WALSALL,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,YATE TOWN,0,5,YEOVIL,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,AFC WIMBLEDON,1,0,GUISELEY AFC,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,CREWE,0,3,SWINDON TOWN,,,,,0.0,3.0,2021
FIRST ROUND,06/11/2021,17:00,HARTLEPOOL,2,2,WYCOMBE,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,17:00,CARLISLE,2,0,HORSHAM,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,ROTHERHAM,3,0,BROMLEY,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,CHESTERFIELD,3,1,SOUTHEND,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,CHARLTON,4,0,HAVANT & WATERLOOVILLE,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,PORTSMOUTH,1,0,HARROW BOROUGH,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,HARROGATE TOWN,2,1,WREXHAM,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,FC HALIFAX TOWN,7,4,MAIDENHEAD,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,PORT VALE,5,1,ACCRINGTON ST,,,,,3.0,0.0,2021
FIRST ROUND,06/11/2021,17:00,NORTHAMPTON,2,2,CAMBRIDGE UNITED,,,,,1.0,1.0,2021
FIRST ROUND,06/11/2021,19:15,BANBURY UNITED,0,4,BARROW,,,,,0.0,3.0,2021
FIRST ROUND,07/11/2021,14:15,SHEFFIELD WED,0,0,PLYMOUTH,,,,,1.0,1.0,2021
FIRST ROUND,07/11/2021,15:00,OXFORD UNITED,2,2,BRISTOL ROVERS,,,,,1.0,1.0,2021
FIRST ROUND,07/11/2021,17:00,STRATFORD,1,5,SHREWSBURY,,,,,0.0,3.0,2021
FIRST ROUND,07/11/2021,17:00,ROCHDALE,1,1,NOTTS COUNTY,,,,,1.0,1.0,2021
FIRST ROUND,07/11/2021,17:00,BOLTON,2,2,STOCKPORT,,,,,1.0,1.0,2021
FIRST ROUND,07/11/2021,19:15,ST ALBANS,3,2,FOREST GREEN,,,,,3.0,0.0,2021
FIRST ROUND,08/11/2021,21:45,DAGENHAM & REDBRIDGE,0,1,SALFORD CITY,,,,,0.0,3.0,2021
FIRST ROUND,16/11/2021,21:00,BRISTOL ROVERS,1,1,OXFORD UNITED,4,3,,,3.0,0.0,2021
FIRST ROUND,16/11/2021,21:45,SOLIHULL MOORS,1,1,WIGAN,1,2,,,0.0,3.0,2021
FIRST ROUND,16/11/2021,21:45,NOTTS COUNTY,1,2,ROCHDALE,,,,,0.0,3.0,2021
FIRST ROUND,16/11/2021,21:45,CHELTENHAM,1,0,GILLINGHAM,,,,,3.0,0.0,2021
FIRST ROUND,16/11/2021,21:45,PLYMOUTH,3,0,SHEFFIELD WED,,,,,3.0,0.0,2021
FIRST ROUND,16/11/2021,21:45,STEVENAGE,1,1,MILTON KEYNES DONS,2,1,,,3.0,0.0,2021
FIRST ROUND,16/11/2021,21:45,CAMBRIDGE UNITED,3,1,NORTHAMPTON,,,,,3.0,0.0,2021
FIRST ROUND,16/11/2021,21:45,EXETER,,,BRADFORD,,,,,,,2021
FIRST ROUND,16/11/2021,21:45,WYCOMBE,0,1,HARTLEPOOL,,,,,0.0,3.0,2021
FIRST ROUND,16/11/2021,21:45,OLDHAM,1,2,IPSWICH,,,,,0.0,3.0,2021
FIRST ROUND,16/11/2021,21:45,ALTRINCHAM,2,3,GATESHEAD,,,,,0.0,3.0,2021
FIRST ROUND,17/11/2021,21:45,STOCKPORT,3,3,BOLTON,5,3,,,3.0,0.0,2021
FIRST ROUND,30/11/2021,21:45,EXETER,2,1,BRADFORD,,,,,3.0,0.0,2021
SECOND ROUND,03/12/2021,21:45,ROTHERHAM,1,0,STOCKPORT,,,,,3.0,0.0,2021
SECOND ROUND,03/12/2021,21:45,GATESHEAD,0,2,CHARLTON,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,14:45,BUXTON,0,1,MORECAMBE,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,17:00,AFC WIMBLEDON,4,3,CHELTENHAM,,,,,3.0,0.0,2021
SECOND ROUND,04/12/2021,17:00,BRISTOL ROVERS,2,1,SUTTON UTD,,,,,3.0,0.0,2021
SECOND ROUND,04/12/2021,17:00,WALSALL,1,2,SWINDON TOWN,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,17:00,DONCASTER,2,3,MANSFIELD,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,17:00,PORTSMOUTH,1,2,HARROGATE TOWN,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,17:00,CAMBRIDGE UNITED,2,1,EXETER,,,,,3.0,0.0,2021
SECOND ROUND,04/12/2021,17:00,IPSWICH,0,0,BARROW,,,,,1.0,1.0,2021
SECOND ROUND,04/12/2021,17:00,LEYTON ORIENT,4,0,TRANMERE,,,,,3.0,0.0,2021
SECOND ROUND,04/12/2021,17:00,CARLISLE,1,2,SHREWSBURY,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,17:00,LINCOLN,0,1,HARTLEPOOL,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,17:00,BURTON ALBION,1,2,PORT VALE,,,,,0.0,3.0,2021
SECOND ROUND,04/12/2021,19:30,YEOVIL,1,0,STEVENAGE,,,,,3.0,0.0,2021
SECOND ROUND,05/12/2021,14:15,ROCHDALE,1,2,PLYMOUTH,,,,,0.0,3.0,2021
SECOND ROUND,05/12/2021,14:30,COLCHESTER,1,2,WIGAN,,,,,0.0,3.0,2021
SECOND ROUND,05/12/2021,18:00,KIDDERMINSTER,2,0,FC HALIFAX TOWN,,,,,3.0,0.0,2021
SECOND ROUND,05/12/2021,19:15,SALFORD CITY,0,2,CHESTERFIELD,,,,,0.0,3.0,2021
SECOND ROUND,06/12/2021,21:45,BOREHAM WOOD,4,0,ST ALBANS,,,,,3.0,0.0,2021
SECOND ROUND,15/12/2021,21:45,BARROW,2,0,IPSWICH,,,,,3.0,0.0,2021
THIRD ROUND,07/01/2022,22:00,SWINDON TOWN,1,4,MANCHESTER CITY,,,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,14:15,MANSFIELD,2,3,MIDDLESBROUGH,,,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,14:30,COVENTRY,1,0,DERBY,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,14:30,HARTLEPOOL,2,1,BLACKPOOL,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,14:30,BRISTOL CITY,0,0,FULHAM,0,1,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,14:30,BURNLEY,1,2,HUDDERSFIELD,,,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,14:45,MILLWALL,1,2,CRYSTAL PALACE,,,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,17:00,QPR,0,0,ROTHERHAM,1,1,8,7,3.0,0.0,2021
THIRD ROUND,08/01/2022,17:00,PORT VALE,1,4,BRENTFORD,,,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,17:00,NEWCASTLE,0,1,CAMBRIDGE UNITED,,,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,17:00,PETERBOROUGH,2,1,BRISTOL ROVERS,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,17:00,WIGAN,3,2,BLACKBURN,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,17:00,WEST BROM,1,1,BRIGHTON,1,2,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,17:00,KIDDERMINSTER,2,1,READING,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,17:00,LEICESTER,4,1,WATFORD,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,17:00,BOREHAM WOOD,2,0,AFC WIMBLEDON,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,17:00,BARNSLEY,4,4,BARROW,5,4,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,19:30,HULL CITY,2,2,EVERTON,2,3,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,19:30,SWANSEA,1,1,SOUTHAMPTON,2,3,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,19:30,CHELSEA,5,1,CHESTERFIELD,,,,,3.0,0.0,2021
THIRD ROUND,08/01/2022,19:30,BIRMINGHAM,0,0,PLYMOUTH,0,1,,,0.0,3.0,2021
THIRD ROUND,08/01/2022,19:45,YEOVIL,1,3,BOURNEMOUTH,,,,,0.0,3.0,2021
THIRD ROUND,09/01/2022,14:30,LUTON,4,0,HARROGATE TOWN,,,,,3.0,0.0,2021
THIRD ROUND,09/01/2022,16:00,LIVERPOOL,4,1,SHREWSBURY,,,,,3.0,0.0,2021
THIRD ROUND,09/01/2022,16:00,WEST HAM,2,0,LEEDS,,,,,3.0,0.0,2021
THIRD ROUND,09/01/2022,16:00,TOTTENHAM,3,1,MORECAMBE,,,,,3.0,0.0,2021
THIRD ROUND,09/01/2022,16:00,CARDIFF,1,1,PRESTON,2,1,,,3.0,0.0,2021
THIRD ROUND,09/01/2022,16:00,CHARLTON,0,1,NORWICH,,,,,0.0,3.0,2021
THIRD ROUND,09/01/2022,16:00,STOKE CITY,2,0,LEYTON ORIENT,,,,,3.0,0.0,2021
THIRD ROUND,09/01/2022,16:00,WOLVERHAMPTON,3,0,SHEFFIELD UTD,,,,,3.0,0.0,2021
THIRD ROUND,09/01/2022,19:10,NOTTINGHAM FOREST,1,0,ARSENAL,,,,,3.0,0.0,2021
THIRD ROUND,10/01/2022,21:55,MANCHESTER UTD,1,0,ASTON VILLA,,,,,3.0,0.0,2021
FOURTH ROUND,04/02/2022,22:00,MANCHESTER UTD,1,1,MIDDLESBROUGH,1,1,7,8,0.0,3.0,2021
FOURTH ROUND,05/02/2022,14:30,KIDDERMINSTER,1,1,WEST HAM,1,2,,,0.0,3.0,2021
FOURTH ROUND,05/02/2022,14:30,CHELSEA,1,1,PLYMOUTH,2,1,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,17:00,EVERTON,4,1,BRENTFORD,,,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,17:00,SOUTHAMPTON,1,1,COVENTRY,2,1,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,17:00,HUDDERSFIELD,1,0,BARNSLEY,,,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,17:00,STOKE CITY,2,0,WIGAN,,,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,17:00,WOLVERHAMPTON,0,1,NORWICH,,,,,0.0,3.0,2021
FOURTH ROUND,05/02/2022,17:00,PETERBOROUGH,2,0,QPR,,,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,17:00,MANCHESTER CITY,4,1,FULHAM,,,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,17:00,CRYSTAL PALACE,2,0,HARTLEPOOL,,,,,3.0,0.0,2021
FOURTH ROUND,05/02/2022,19:30,CAMBRIDGE UNITED,0,3,LUTON,,,,,0.0,3.0,2021
FOURTH ROUND,05/02/2022,22:00,TOTTENHAM,3,1,BRIGHTON,,,,,3.0,0.0,2021
FOURTH ROUND,06/02/2022,14:00,LIVERPOOL,3,1,CARDIFF,,,,,3.0,0.0,2021
FOURTH ROUND,06/02/2022,18:00,NOTTINGHAM FOREST,4,1,LEICESTER,,,,,3.0,0.0,2021
FOURTH ROUND,06/02/2022,20:30,BOURNEMOUTH,0,1,BOREHAM WOOD,,,,,0.0,3.0,2021
FIFTH ROUND,01/03/2022,21:15,PETERBOROUGH,0,2,MANCHESTER CITY,,,,,0.0,3.0,2021
FIFTH ROUND,01/03/2022,21:30,CRYSTAL PALACE,2,1,STOKE CITY,,,,,3.0,0.0,2021
FIFTH ROUND,01/03/2022,21:55,MIDDLESBROUGH,0,0,TOTTENHAM,1,0,,,3.0,0.0,2021
FIFTH ROUND,02/03/2022,21:15,LUTON,2,3,CHELSEA,,,,,0.0,3.0,2021
FIFTH ROUND,02/03/2022,21:30,SOUTHAMPTON,3,1,WEST HAM,,,,,3.0,0.0,2021
FIFTH ROUND,02/03/2022,22:15,LIVERPOOL,2,1,NORWICH,,,,,3.0,0.0,2021
FIFTH ROUND,03/03/2022,22:15,EVERTON,2,0,BOREHAM WOOD,,,,,3.0,0.0,2021
FIFTH ROUND,07/03/2022,21:30,NOTTINGHAM FOREST,2,1,HUDDERSFIELD,,,,,3.0,0.0,2021
QUARTER FINALS,19/03/2022,19:15,MIDDLESBROUGH,0,2,CHELSEA,,,,,0.0,3.0,2021
QUARTER FINALS,20/03/2022,14:30,CRYSTAL PALACE,4,0,EVERTON,,,,,3.0,0.0,2021
QUARTER FINALS,20/03/2022,17:00,SOUTHAMPTON,1,4,MANCHESTER CITY,,,,,0.0,3.0,2021
QUARTER FINALS,20/03/2022,20:00,NOTTINGHAM FOREST,0,1,LIVERPOOL,,,,,0.0,3.0,2021
SEMI FINALS,16/04/2022,17:30,MANCHESTER CITY,2,3,LIVERPOOL,,,,,0.0,3.0,2021
SEMI FINALS,17/04/2022,18:30,CHELSEA,2,0,CRYSTAL PALACE,,,,,3.0,0.0,2021
FINAL,14/05/2022,18:45,CHELSEA,0,0,LIVERPOOL,0,0,5,6,0.0,3.0,2021
