Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
first-round,04/11/2016,21:45,MILLWALL,1,0,SOUTHEND,,,,,3.0,0.0,2016
first-round,04/11/2016,21:55,EASTLEIGH,1,1,SWINDON TOWN,,,,,1.0,1.0,2016
first-round,05/11/2016,14:00,CRAWLEY TOWN,1,1,BRISTOL ROVERS,,,,,1.0,1.0,2016
first-round,05/11/2016,14:30,MERSTHAM,0,5,OXFORD UNITED,,,,,0.0,3.0,2016
first-round,05/11/2016,17:00,LINCOLN,2,1,ALTRINCHAM,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,MANSFIELD,1,2,PLYMOUTH,,,,,0.0,3.0,2016
first-round,05/11/2016,17:00,PETERBOROUGH,2,1,CHESHAM UNITED,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,PORT VALE,1,0,STEVENAGE,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,MILTON KEYNES DONS,3,2,SPENNYMOOR TOWN,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,NORTHAMPTON,6,0,HARROW BOROUGH,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,OLDHAM,2,1,DONCASTER,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,PORTSMOUTH,1,2,WYCOMBE,,,,,0.0,3.0,2016
first-round,05/11/2016,17:00,WALSALL,0,1,MACCLESFIELD,,,,,0.0,3.0,2016
first-round,05/11/2016,17:00,WESTFIELDS,1,1,CURZON ASHTON,,,,,1.0,1.0,2016
first-round,05/11/2016,17:00,SHREWSBURY,3,0,BARNET,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,STOCKPORT,2,4,WOKING,,,,,0.0,3.0,2016
first-round,05/11/2016,17:00,BRADFORD,1,2,ACCRINGTON ST,,,,,0.0,3.0,2016
first-round,05/11/2016,17:00,BRAINTREE,7,0,EASTBOURNE BOROUGH,,,,,3.0,0.0,2016
first-round,05/11/2016,17:00,WHITEHAWK,1,1,STOURBRIDGE,,,,,1.0,1.0,2016
first-round,05/11/2016,17:00,BURY,2,2,AFC WIMBLEDON,,,,,1.0,1.0,2016
first-round,05/11/2016,17:00,YEOVIL,2,2,SOLIHULL MOORS,,,,,1.0,1.0,2016
first-round,05/11/2016,17:00,CAMBRIDGE UNITED,1,1,DOVER,,,,,1.0,1.0,2016
first-round,05/11/2016,17:00,BOLTON,1,0,GRIMSBY,,,,,3.0,0.0,2016
